"Name","P Value","Q Value","Set Size","Stat Mean"
"Bioenergetics","2.7901976598333468e-56","4.1015905599550197e-54","153","-9.890449518519384"
"Proton-motive_cycle","2.2853987831018447e-47","1.6797681055798558e-45","73","-10.222623009675441"
"Bacterial_Protein_Metabolism","3.455392609538018e-33","1.693142378673629e-31","227","-7.089754143406556"
"Bacterial_Protein_Biosynthesis","1.467315071759068e-32","5.392382888714575e-31","132","-7.159685870506891"
"Bacterial_Ribosomal_Complex","4.049259780505129e-28","1.1904823754685078e-26","81","-6.7536081483062365"
"Bacterial_LSU","1.3601526732852936e-24","3.3323740495489695e-23","34","-6.963174758798074"
"Bacterial_SSU","4.703260206546884e-19","9.876846433748456e-18","20","-6.585404775285078"
"Carbohydrate_central_metabolism","1.4678555159508802e-18","2.6971845105597424e-17","85","-5.2974551453738785"
"Nucleotide_metabolism","1.1203850791386646e-15","1.8299622959264854e-14","135","-4.6827248112718305"
"Glycolysis_and_fermentation_pathways","6.154036069811694e-15","9.046433022623191e-14","44","-4.831417862954685"
"Glycolysis_versions_and_bypasses","5.308999415088656e-13","7.094753763800294e-12","24","-4.694478352634667"
"Bacterial_respiration_proton_transport_and_oxidative_phosphorylation","3.56281894495217e-12","4.364453207566408e-11","47","-4.214002919010988"
"Purine_biosynthesis","2.1569502552752883e-9","2.379355830769918e-8","41","-3.5424410070991166"
"Carbohydrate_biosynthesis","2.2660531721618265e-9","2.379355830769918e-8","91","-3.469065532472821"
"Pyrimidine_biosynthesis","3.573721808639142e-8","3.5022473724663593e-7","36","-3.2475384809896743"
"Anaerobic_respiratory_chain_proton_transport_and_oxidative_phosphorylation","9.680024309694887e-7","0.000008893522334532178","28","-2.8984245776954354"
"Capsular_and_exopolysaccharide_metabolism","0.0000012377730090781954","0.00001070309601967616","46","-2.7925886915788443"
"Bacterial_Translation_Factors","0.0000013170042079799495","0.000010755534365169587","20","-2.8818199692184163"
"Bacterial_Protein_Fate","0.0000018300105734813364","0.000014158502857987181","95","-2.7054890168665287"
"Bacterial_aerobic_respiration_proton_transport_and_oxidative_phosphorylation","0.0000026671220008143917","0.000019603346705985778","18","-2.8657804248160708"
"Cell_wall_metabolism","0.000006399148420632189","0.000042933848986736114","81","-2.555003978813583"
"Bacterial_Photosynthesis","0.000006717540997924698","0.000042933848986736114","28","-2.6127133521314443"
"Photosynthesis_and_respiration_in_cyanobacteria","0.000006717540997924698","0.000042933848986736114","28","-2.6127133521314443"
"Bacterial_Protein_Degradation","0.000013745537801063687","0.00008419141903151509","68","-2.4606406233767677"
"Nucleotide_sugar_biosynthesis","0.000015904164159173338","0.00009351648525593922","22","-2.5259296552485275"
"Lipid_metabolism","0.000025120234002338892","0.00014202593839783914","60","-2.3791283590609402"
"Bacterial_Regulatory_Proteolysis","0.00004503840846859393","0.00024520911277345586","10","-2.4926391882064203"
"Stress","0.00011625639136534748","0.0006103460546680743","23","-2.1993970629334227"
"Reserve_carbohydrate_biosynthesis","0.0001397416110070647","0.0007083454075185692","10","-2.3110292624077067"
"Biosynthesis_of_nucleotide-sugar_precursors","0.00020041650586889823","0.0009503621407331626","16","-2.1623648934235162"
"Sugar_precursors_of_streptococcal_capsular_and_exopolysaccharides","0.00020041650586889823","0.0009503621407331626","16","-2.1623648934235162"
"Bacterial_Basic_Transcription","0.000245049154118698","0.001125694551732769","10","-2.241597509539331"
"Heteropolysaccharide_biosynthesis","0.00028059806594675214","0.0012499368392173502","21","-2.0675415664992163"
