"Name","P Value","Q Value","Set Size","Stat Mean"
"Polysaccharide_degradation","4.859492092725347e-8","0.000007143453376306261","72","3.1371822895373493"
"ABC_transporter_for_unknown_substrate","5.921147859757821e-7","0.000043520436769219984","40","2.9403182923313658"
"Leu_Ile_Val_uptake","0.00000390136775743963","0.00019116702011454188","28","2.7217389873318134"
"Carbohydrate_assimilation","0.0000055692546696941985","0.00020205384350558496","189","2.5514891030917504"
"Mannan,_gluco_and_galactomannan_degradation","0.0000068725797110743185","0.00020205384350558496","12","2.838776346782994"
"Unknown_substrate_transporters","0.00015284304078448338","0.0037446544992198426","80","2.104670897114495"
"Membrane_transport","0.0004700992328260449","0.009872083889346942","275","1.9139458297716028"
"L-homocysteine_biosynthesis","0.0017060606376610547","0.031348864217021884","12","1.8227611744416223"
"Bacterial_DNA_Repair","0.005468802851011681","0.08633670293724362","89","1.4970697774788053"
"Assimilation_of_oligosaccharides_and_disaccharides","0.00613113525849119","0.08633670293724362","53","1.4606674136714064"
"Extracellular_and_periplasmic_carbohydrate_degradation","0.006460569607548842","0.08633670293724362","12","1.497359297608927"
"Bacterial_Excision_Repair","0.007272265392775859","0.08908525106150426","34","1.4447286849015526"
"Bacterial_DNA_Recombination","0.010100748435176419","0.11421615538237952","29","1.3782227467677082"
"Antibiotic_class","0.012533171534647745","0.13159830111380133","17","1.3247792192445011"
"Bacterial_Transcription_Repressors","0.0316572076000488","0.29141635348598777","12","1.1113333019049934"
"Amino_acid_membrane_transport","0.03171878677398506","0.29141635348598777","77","1.0825117894213148"
"Bacterial_Transcription_Regulators","0.03403321197439227","0.2942871858962155","49","1.061261895972736"
"Bacterial_Transcription_Regulators","0.07158656837619796","0.58462364173895","59","0.8507809333584468"
"Mismatch_Repair","0.0802859728657231","0.6211598953295419","16","0.8340946112636031"
"Nucleotide_Excision_Repair_NER","0.10473561980364564","0.7312727354686245","10","0.766756410696018"
"Recombinational_Repair_RER","0.10787331280363982","0.7312727354686245","25","0.7406576856404977"
"Bacterial_Transcription_Regulation","0.11280051364492166","0.7312727354686245","82","0.7024954406829054"
"Bacterial_Nucleic_acid_metabolism","0.1144168225563154","0.7312727354686245","291","0.6963702187995905"
"Lactose,_allolactose_and_beta-galactoside_degradation","0.1608184239208161","0.8704105909801181","23","0.6018483731363498"
"Coenzyme_and_cofactor_metabolism","0.16105723665774163","0.8704105909801181","60","0.5771674630071656"
"Bacterial_rRNA_processing","0.1626477420393629","0.8704105909801181","14","0.5839782340837343"
"Bacterial_Recombination_Synapsis","0.16431814784005663","0.8704105909801181","12","0.5873474105897488"
"Ion_membrane_transport","0.16579249352002248","0.8704105909801181","47","0.5681070959548261"
"Two-component_signal_transduction","0.17938254832638512","0.881592280262597","18","0.5369830647378627"
"Predicted_transporter_of_unknown_function","0.18440373577743815","0.881592280262597","19","0.5241376490663475"
"NAD_and_NADP_metabolism","0.18870430945196384","0.881592280262597","13","0.5169761224705338"
"Metal_efflux","0.19897621551966166","0.881592280262597","22","0.5026484974327025"
"Amino_acid_biosynthesis","0.20289479624423143","0.881592280262597","127","0.48197549096477177"
"Long-Patch_MMR","0.2039056974757027","0.881592280262597","13","0.4936787156371583"
"Degradation_of_aromatic_amino_acids","0.21617740574436434","0.9079451041263302","19","0.459296445352913"
"L-phenylalanine_biosynthesis","0.22819293973409185","0.9211868247937642","11","0.43858048709465614"
"Thiamine_biosynthesis","0.2318633504582944","0.9211868247937642","12","0.4336391035538168"
"Biosynthesis_of_sulfur-containing_coenzymes","0.25209261873932765","0.9752003935442412","20","0.39046632873644804"
"Bacterial_Chromosomal_Replication_Elongation","0.2674272577301344","1","14","0.36884913244743456"
"Signal_transduction","0.2937939147650711","1","28","0.3149970379696558"
"Isoprenoid_biosynthesis","0.31606205171585866","1","11","0.2809016429154971"
"5-aminolevulinate_uptake_dpp_ABC_transporter","0.33272190955321024","1","10","0.2774172250846145"
"Dipeptide_uptake_dpp_ABC_transporter","0.33272190955321024","1","10","0.2774172250846145"
"Metals_uptake_PM","0.3347197271377156","1","19","0.24985115394928323"
"SOS_Error-Prone_Repair_SOS","0.3773354304634426","1","28","0.17930029078286083"
"Lactose_and_galactose_metabolism_in_lactobacteria","0.40332400773117516","1","10","0.15195479696820893"
"Bacterial_RNA_Processing","0.4040955579092462","1","30","0.14086880173152713"
"Carbohydrate_membrane_transport","0.43139910976483575","1","28","0.10265369548886709"
