"Name","P Value","Q Value","Set Size","Stat Mean"
"Amino_acid_membrane_transport","2.63402837817708e-10","3.872021715920308e-8","77","-3.6726763137530867"
"Cell_wall_metabolism","0.0000010477252934616326","0.00007700780906943","81","-2.7773341390285373"
"Leu_Ile_Val_uptake","0.000007046743468454496","0.0003452904299542703","28","-2.6009093960879013"
"Cellular_processing","0.00006663135306895114","0.0024487022252839543","43","-2.2467035731766383"
"Membrane_transport","0.0002020629970326669","0.005940652112760407","275","-2.0472054802451254"
"Bacterial_cell_division","0.0006724834964229604","0.016475845662362532","12","-1.9627047162019051"
"Peptidoglycan_biosynthesis","0.0009559495650163522","0.018777405720025276","20","-1.8802326203739537"
"Peptidoglycan_metabolism","0.0010218996310217838","0.018777405720025276","24","-1.8436775739192601"
"Sporulation","0.0014252638759864062","0.023279309974444634","15","-1.7902306502531178"
"Peptide_uptake","0.0057066895418106485","0.08388833626461653","20","-1.492648829008993"
"Capsular_and_exopolysaccharide_metabolism","0.009564446629865133","0.12781578678092495","46","-1.3649963335899402"
"Heteropolysaccharide_biosynthesis","0.012959098536132455","0.15874895706762257","21","-1.3100629427022727"
"L-tyrosine_biosynthesis","0.01977542726064036","0.2236144467164718","11","-1.2275808413891574"
"Metal_efflux","0.02630062391598102","0.2761565511178007","22","-1.1445798065778259"
"L-phenylalanine_biosynthesis","0.035791049702565296","0.35075228708513995","11","-1.0718397138188247"
"Degradation_of_aromatic_amino_acids","0.04004453739716389","0.36790918733644323","19","-1.027247218415786"
"UDP-N-acetylmuramoyl-oligo(depsi)peptide_biosynthesis","0.055322330803004506","0.4463005822740894","13","-0.9607445597412557"
"5-aminolevulinate_uptake_dpp_ABC_transporter","0.057685109273521766","0.4463005822740894","10","-0.9350728609968015"
"Dipeptide_uptake_dpp_ABC_transporter","0.057685109273521766","0.4463005822740894","10","-0.9350728609968015"
"Predicted_transporter_of_unknown_function","0.07901852679028587","0.5807861719086012","19","-0.82600400843716"
"Bacterial_DNA_Replication","0.10496512892253287","0.7347559024577301","27","-0.7298636555393174"
"Bacterial_Regulatory_Proteolysis","0.12438499746470665","0.8311179376050853","10","-0.6840412532455846"
"Bacterial_Ribosomal_Protein_Modification","0.14359161529833894","0.9177377151676446","10","-0.6368346140242394"
"Glycogen_and_starch_degradation","0.15451782187810675","0.9464216590034039","13","-0.6048028633822582"
"Coenzyme_membrane_transport","0.16383149478751177","0.9633291893505692","20","-0.5701350683112851"
"Bacterial_Chromosomal_Replication_Initiation","0.18817395678926235","1","12","-0.5196452913559988"
"Bacterial_rRNA_processing","0.19146866507821678","1","14","-0.5105548755317569"
"GLNCO2NH3UMPCO2.ANA","0.2094850018986187","1","10","-0.47945179183552294"
"Signal_transduction","0.212148332079965","1","28","-0.4652344991170374"
"NAD_and_NADP_metabolism","0.2215210224597965","1","13","-0.45052104778387586"
"SOS_Error-Prone_Repair_SOS","0.22306043415779797","1","28","-0.44237528183810154"
"Bacterial_Exopeptidases","0.2318599188765621","1","16","-0.43195495715823623"
"Ion_membrane_transport","0.24407419507191686","1","47","-0.40185986280027486"
"Bacterial_Transcription_Regulators","0.2613528520053623","1","59","-0.37008287360092557"
"Bacterial_Chromosomal_Replication_Elongation","0.26946337895032635","1","14","-0.3588209007056821"
