"Name","P Value","Q Value","Set Size","Stat Mean"
"Leu_Ile_Val_uptake","1.2426297347971114e-10","1.8266657101517538e-8","28","-3.975855514904471"
"ABC_transporter_for_unknown_substrate","8.080001725799172e-8","0.000004954427862242054","40","-3.160192179283535"
"Mannan,_gluco_and_galactomannan_degradation","1.0111077269881743e-7","0.000004954427862242054","12","-3.49108109878243"
"Membrane_transport","1.8297446637182666e-7","0.00000672431163916463","275","-2.9494408373526295"
"Polysaccharide_degradation","0.0000035779320963787415","0.00010519120363353499","72","-2.6275790373457877"
"Unknown_substrate_transporters","0.000025562348879793666","0.0006262775475549448","80","-2.363445118457612"
"Bacterial_DNA_Repair","0.00003567702811818134","0.0007492175904818081","89","-2.31693401624611"
"Amino_acid_membrane_transport","0.00006489072251043979","0.0011923670261293313","77","-2.231244814256493"
"Bacterial_Nucleic_acid_metabolism","0.0001236493432859291","0.0020196059403368417","291","-2.121144455290463"
"Bacterial_DNA_Recombination","0.0001707458189339795","0.0025099635383294986","29","-2.120893061698176"
"L-homocysteine_biosynthesis","0.0004389483664270871","0.005865946351343801","12","-2.105394313339607"
"Metal_efflux","0.002393272142582191","0.02931758374663184","22","-1.6770970694881606"
"Recombinational_Repair_RER","0.004349793850186425","0.04895231196075029","25","-1.5467680404373616"
"Bacterial_Transcription_Regulators","0.004662124948642885","0.04895231196075029","49","-1.5147926229963178"
"Bacterial_Transcription_Regulators","0.006728355167943874","0.06593788064584997","59","-1.4370101287245869"
"Bacterial_Excision_Repair","0.009349706053564765","0.08590042436712628","34","-1.3748660214493147"
"Bacterial_Transcription_Repressors","0.011306174125575136","0.0977651527329144","12","-1.3633813578480436"
"Bacterial_rRNA_processing","0.02024322532838848","0.16531967351517257","14","-1.2243340649990992"
"Antibiotic_class","0.02197335536229794","0.1700043809609367","17","-1.1852669910861955"
"Predicted_transporter_of_unknown_function","0.025028268993057934","0.18395777709897582","19","-1.1539771026745436"
"Bacterial_Recombination_Synapsis","0.026471625971542248","0.18530138180079575","12","-1.1492775335831655"
"Bacterial_Transcription_Regulation","0.03127083919451032","0.20148535868412026","82","-1.078914375868872"
"Mismatch_Repair","0.0315249200662229","0.20148535868412026","16","-1.0942611161883085"
"Ion_membrane_transport","0.033031500342019626","0.2023179395948702","47","-1.0681388725078849"
"SOS_Error-Prone_Repair_SOS","0.03908834475118134","0.2298394671369463","28","-1.0275118950008948"
"Carbohydrate_assimilation","0.04172164308806124","0.23588775130557704","189","-1.000794856423386"
"Long-Patch_MMR","0.06864844269395871","0.3737526324448863","13","-0.8745674679724801"
"Extracellular_and_periplasmic_carbohydrate_degradation","0.09673849636124554","0.49532881653479915","12","-0.764635611008838"
"5-aminolevulinate_uptake_dpp_ABC_transporter","0.10184367330531559","0.49532881653479915","10","-0.7528048936019172"
"Dipeptide_uptake_dpp_ABC_transporter","0.10184367330531559","0.49532881653479915","10","-0.7528048936019172"
"Bacterial_RNA_Processing","0.10549546742391136","0.49532881653479915","30","-0.7273746884024241"
"L-phenylalanine_biosynthesis","0.10782668115043247","0.49532881653479915","11","-0.7359677604453626"
"Bacterial_Chromosomal_Replication_Elongation","0.12553731651863534","0.559211682673921","14","-0.6734946145905321"
"Nucleotide_Excision_Repair_NER","0.137591943073968","0.5948828127021557","10","-0.6480094691427631"
"Assimilation_of_oligosaccharides_and_disaccharides","0.15640236500699042","0.6568899330293598","53","-0.5847050601525452"
"Degradation_of_aromatic_amino_acids","0.16394967345241995","0.6694611665973814","19","-0.5722048475122318"
"NAD_and_NADP_metabolism","0.17805438306406926","0.7074052516329238","13","-0.5402760329138384"
"Isoprenoid_biosynthesis","0.18914207756384221","0.7316811947864422","11","-0.5171595822148218"
"Bacterial_Transcription","0.20268427168436112","0.7639637932718227","92","-0.481231768732097"
"Cellular_processing","0.22652069989979587","0.8324635721317498","43","-0.4347690444174875"
"L-tyrosine_biosynthesis","0.23726279936036698","0.8506739391700963","11","-0.4221055723639827"
"Signal_transduction","0.24955361919705854","0.8734376671897048","28","-0.3923428692257345"
"Two-component_signal_transduction","0.3213250983508803","1","18","-0.270050584757302"
"Sporulation","0.3585270655514163","1","15","-0.2112544760291263"
"Coenzyme_membrane_transport","0.4135516308166581","1","20","-0.12704551326880478"
"Bacterial_sporulation_transcription_regulators","0.4136962472102842","1","10","-0.12782759778257982"
"Gram_positive_sporulation_regulation","0.4136962472102842","1","10","-0.12782759778257982"
"Peptidoglycan_metabolism","0.42657451413646474","1","24","-0.10773599961910774"
"Amino_acid_biosynthesis","0.46993700733803034","1","127","-0.04359866078965057"
"Bacterial_Ribosomal_Protein_Modification","0.5003547960370461","1","10","0.0005470681437627646"
"Bacterial_tRNA_Processing","0.522130453038262","1","12","0.03241766070316917"
"Bacterial_DNA_Replication","0.5518729717383507","1","27","0.07565112332118565"
"Virulence","0.6137188025943021","1","57","0.16725454780748428"
"Lactose,_allolactose_and_beta-galactoside_degradation","0.6389628498960986","1","23","0.20679120602130835"
"UDP-N-acetylmuramoyl-oligo(depsi)peptide_biosynthesis","0.6670877954647841","1","13","0.2537943425522694"
"Metals_uptake_PM","0.6706554788521248","1","19","0.2571390750637294"
"Biosynthesis_of_sulfur-containing_coenzymes","0.6909276912383613","1","20","0.29078863532950355"
"Lactose_and_galactose_metabolism_in_lactobacteria","0.7767082272992794","1","10","0.44761844439320375"
"Peptidoglycan_biosynthesis","0.7855866787773507","1","20","0.4627384966352564"
"Thiamine_biosynthesis","0.7859418694649283","1","12","0.4676326917503463"
"Coenzyme_and_cofactor_metabolism","0.8434223162999208","1","60","0.5842891444966677"
"Signal_Peptide_Release","0.8442108902878238","1","11","0.5943107981992559"
