"Name","P Value","Q Value","Set Size","Stat Mean"
"Bioenergetics","9.032556709507532e-78","1.3277858362976073e-75","153","11.915318621745056"
"Proton-motive_cycle","3.178186902628272e-61","2.3359673734317796e-59","73","11.94000501053026"
"Bacterial_Protein_Metabolism","1.2721599430616335e-38","6.233583721002004e-37","227","7.714818446898457"
"Carbohydrate_central_metabolism","3.965729710234445e-34","1.4574056685111587e-32","85","7.556132689951428"
"Bacterial_Protein_Biosynthesis","3.268144007965211e-33","9.608343383417719e-32","132","7.2328057582929075"
"Nucleotide_metabolism","5.0001815761959084e-30","1.2250444861679975e-28","135","6.815604783415554"
"Bacterial_Ribosomal_Complex","2.943107227985394e-28","6.180525178769328e-27","81","6.762145179234249"
"Bacterial_LSU","5.0140300157762864e-26","9.213280153988926e-25","34","7.091594259087641"
"Glycolysis_and_fermentation_pathways","9.548603926384943e-26","1.5596053079762073e-24","44","6.736170482706531"
"Bacterial_SSU","1.034823403536491e-21","1.521190403198642e-20","20","7.884045719494658"
"Glycolysis_versions_and_bypasses","4.1192988936075095e-20","5.504881248730035e-19","24","6.21454692498604"
"Carbohydrate_biosynthesis","4.994378074170984e-20","6.118113140859455e-19","91","5.463066803845297"
"Bacterial_respiration_proton_transport_and_oxidative_phosphorylation","6.17768171589068e-20","6.985532401814846e-19","47","5.688396905255126"
"Carbohydrate_metabolism","1.820403078190076e-17","1.91142323209958e-16","377","4.905164135900624"
"Purine_biosynthesis","7.146284743221687e-14","7.003359048357254e-13","41","4.540849397284899"
"Pyrimidine_biosynthesis","1.6504181584549307e-13","1.5163216830804676e-12","36","4.506427948849386"
"Bacterial_aerobic_respiration_proton_transport_and_oxidative_phosphorylation","4.96274265951436e-11","4.2913127702859463e-10","18","4.233579624399656"
"Anaerobic_respiratory_chain_proton_transport_and_oxidative_phosphorylation","7.37070110299106e-10","6.019405900776032e-9","28","3.7287252210861492"
"Bacterial_Protein_Fate","3.026761791351658e-9","2.3417578069931248e-8","95","3.414250699839923"
"Gluconeogenesis","1.716860854127388e-8","1.26189272778363e-7","29","3.354137530030103"
"Lipid_metabolism","2.863044033779435e-8","2.0041308236456045e-7","60","3.2077647939044516"
"Nucleotide_sugar_biosynthesis","1.408850367432881e-7","9.41368200057425e-7","22","3.1552634066619216"
"Reserve_carbohydrate_biosynthesis","1.5183215104863507e-7","9.704054871369285e-7","10","3.5089050860305884"
"Bacterial_Protein_Degradation","3.6958045712736567e-7","0.0000022636802999051147","68","2.908801566159897"
"Fatty_acid_degradation","6.083708800571501e-7","0.0000034341956344085737","12","3.126808208280772"
"Bacterial_Photosynthesis","6.307706267281053e-7","0.0000034341956344085737","28","2.9203277845853113"
"Photosynthesis_and_respiration_in_cyanobacteria","6.307706267281053e-7","0.0000034341956344085737","28","2.9203277845853113"
"Bacterial_Translation_Factors","0.0000014205338927808582","0.000007457802937099505","20","2.860198821080971"
"Capsular_and_exopolysaccharide_metabolism","0.0000016253912941022734","0.000008239052421828765","46","2.754249827455422"
"Purine_salvage_pathways","0.000003763656690236143","0.0000184419177821571","33","2.6690361853803277"
"Alcohol_and_aldehyde_degradation","0.00000463482359559723","0.00002197803446944493","13","2.7830465181732933"
"Biosynthesis_of_nucleotide-sugar_precursors","0.000006068441727659416","0.000027032149514119213","16","2.739582180497205"
