"Name","P Value","Q Value","Set Size","Stat Mean"
"Bacterial_Nucleic_acid_metabolism","0.00007936633222738426","0.009321147602661091","291","-2.1974687420870045"
"Unknown_substrate_transporters","0.00012681833473008288","0.009321147602661091","80","-2.1392540862347915"
"Polysaccharide_degradation","0.0004611387267766229","0.022595797612054522","72","-1.9432576644307615"
"ABC_transporter_for_unknown_substrate","0.0007970298714710461","0.029290847776560946","40","-1.865789633028029"
"Mannan,_gluco_and_galactomannan_degradation","0.0012267055105367618","0.036065142009780796","12","-1.8463873518728586"
"L-homocysteine_biosynthesis","0.0016795291127154185","0.041148463261527754","12","-1.885071254458499"
"Bacterial_DNA_Recombination","0.0025682773785754404","0.049666580603873786","29","-1.6508258700623566"
"Carbohydrate_assimilation","0.0027029431621155803","0.049666580603873786","189","-1.616187547454957"
"Leu_Ile_Val_uptake","0.005362429375770974","0.08065139541035783","28","-1.5253836507283078"
"Bacterial_DNA_Repair","0.005486489483697812","0.08065139541035783","89","-1.4887577413440902"
"Membrane_transport","0.007755310921194637","0.10363915503778287","275","-1.401421214848798"
"Bacterial_Recombination_Synapsis","0.011620217827080366","0.1423476683817345","12","-1.35887254495012"
"Lactose,_allolactose_and_beta-galactoside_degradation","0.015528717765656409","0.17559396242703787","23","-1.334822232750649"
"Bacterial_Transcription_Repressors","0.031402798428061436","0.3203511836760363","12","-1.1129486635895176"
"Recombinational_Repair_RER","0.032802202415132965","0.3203511836760363","25","-1.0972558081115467"
"Metal_efflux","0.0348681560463713","0.3203511836760363","22","-1.1054981862521631"
"Assimilation_of_oligosaccharides_and_disaccharides","0.03707477046121326","0.3205877210469617","53","-1.0437144967978171"
"Bacterial_Transcription_Regulation","0.04017026955788132","0.32805720138936406","82","-1.0138057010141972"
"Bacterial_Transcription_Regulators","0.06290346175168698","0.48667415144726245","59","-0.8878882060549075"
"SOS_Error-Prone_Repair_SOS","0.0713891593660224","0.4997896254769186","28","-0.8723639538841449"
"Bacterial_Transcription","0.07789796969304795","0.4997896254769186","92","-0.8235170801714217"
"Bacterial_RNA_Processing","0.07796585629168917","0.4997896254769186","30","-0.8263874328778784"
"Bacterial_Transcription_Regulators","0.07819837677530019","0.4997896254769186","49","-0.8220176257396028"
"Predicted_transporter_of_unknown_function","0.08695755527254363","0.5326150260443298","19","-0.8004546096408183"
"Bacterial_rRNA_processing","0.13406411595801968","0.7882970018331557","14","-0.6538549101543986"
"Antibiotic_class","0.14289328342536844","0.8078966409049678","17","-0.624228749159134"
"Bacterial_Excision_Repair","0.16265761996158956","0.8855803753464321","34","-0.5726679146834348"
"Ion_membrane_transport","0.18545124274633348","0.9039058015753085","47","-0.5296844100416126"
"Amino_acid_membrane_transport","0.18630362891907973","0.9039058015753085","77","-0.5184490303685454"
"5-aminolevulinate_uptake_dpp_ABC_transporter","0.19061959080839838","0.9039058015753085","10","-0.5736073936598215"
"Dipeptide_uptake_dpp_ABC_transporter","0.19061959080839838","0.9039058015753085","10","-0.5736073936598215"
"Isoprenoid_biosynthesis","0.2010724546928186","0.9200335078779485","11","-0.4919564738697612"
"L-lysine_biosynthesis","0.20653813442158028","0.9200335078779485","11","-0.4944565731249816"
"Signal_Peptide_Release","0.24596239735208628","1","11","-0.4081931826682584"
"Bacterial_tRNA_Processing","0.28079566151480895","1","12","-0.33952420314047893"
"Mismatch_Repair","0.28377159451436385","1","16","-0.337300789587235"
"Polyketides","0.2961499216564165","1","17","-0.3118565923127347"
"Bacterial_sporulation_transcription_regulators","0.3198273510058929","1","10","-0.2861248429847546"
"Gram_positive_sporulation_regulation","0.3198273510058929","1","10","-0.2861248429847546"
"Long-Patch_MMR","0.33812419241723074","1","13","-0.25757304136074693"
"Polyketides_type_1","0.3483837793536681","1","15","-0.22762312323358375"
"Polyketides_type1_modular","0.3483837793536681","1","15","-0.22762312323358375"
"Lactose_and_galactose_metabolism_in_lactobacteria","0.352605697389735","1","10","-0.22260811326680296"
"Nucleotide_Excision_Repair_NER","0.3586775799709522","1","10","-0.2141258980834846"
