"Name","P Value","Q Value","Set Size","Stat Mean"
"Bioenergetics","8.154984911111283e-34","1.1987827819333585e-31","153","7.434363490888705"
"Proton-motive_cycle","6.913157858303236e-26","5.0811710258528785e-24","73","7.035439732091057"
"Carbohydrate_central_metabolism","9.944666226322201e-14","4.8728864508978785e-12","85","4.396622659967116"
"Nucleotide_metabolism","4.877576280218836e-11","1.7925092829804223e-9","135","3.821922738443238"
"Carbohydrate_biosynthesis","9.703554895535336e-11","2.8528451392873884e-9","91","3.756492230409672"
"Bacterial_respiration_proton_transport_and_oxidative_phosphorylation","5.930834265655783e-10","1.4530543950856669e-8","47","3.683009269436942"
"Glycolysis_and_fermentation_pathways","7.608243982456319e-9","1.597731236315827e-7","44","3.409353656594929"
"Pyrimidine_biosynthesis","4.5884496079837436e-8","8.431276154670129e-7","36","3.3263570879633146"
"Glycolysis_versions_and_bypasses","2.430730474977222e-7","0.000003970193109129462","24","3.1147933567541903"
"Bacterial_Protein_Biosynthesis","4.329375997957102e-7","0.0000063641827169969395","132","2.945301254073344"
"Fatty_acid_degradation","0.000001125405661097606","0.00001503951201648619","12","3.160997670269612"
"Bacterial_Protein_Metabolism","0.0000012579381562237473","0.000015409742413740904","227","2.771484161123651"
"Purine_biosynthesis","0.0000022330227702976447","0.000025250334402596445","41","2.7692574094748235"
"Bacterial_aerobic_respiration_proton_transport_and_oxidative_phosphorylation","0.000003891699021062246","0.000040585295536108856","18","2.7733234080120663"
"Carbohydrate_metabolism","0.000004141356687358046","0.000040585295536108856","377","2.5822749614690705"
"Bacterial_Ribosomal_Complex","0.000004476851414331122","0.00004113107236916718","81","2.7092220326991585"
"Lipid_metabolism","0.000007816479806997404","0.00006758956068403637","60","2.5427997843372556"
"Gluconeogenesis","0.000015626194488726887","0.00012761392165793625","29","2.4961275377108785"
"Anaerobic_respiratory_chain_proton_transport_and_oxidative_phosphorylation","0.000022745116847451694","0.00017597537771449467","28","2.455399343923193"
"Bacterial_LSU","0.000027421816266734737","0.0002015503495605003","34","2.609880933539489"
"Bacterial_SSU","0.000055963014693599615","0.0003917411028551973","20","2.60166472365073"
"GLNCO2NH3UMPCO2.ANA","0.00015690261983651566","0.0010483947779985365","10","2.2763312175157306"
"Reserve_carbohydrate_biosynthesis","0.00021850267140797468","0.0013965170737814034","10","2.323191810917623"
"Capsular_and_exopolysaccharide_metabolism","0.00024217981078297548","0.0014833513410457248","46","2.0577534261363137"
"TCA_cycle_and_related_pathways","0.0006082886248197183","0.003312343132370297","16","1.9611298948002558"
"Bacterial_Photosynthesis","0.0006083895549251566","0.003312343132370297","28","1.9387251637268152"
"Photosynthesis_and_respiration_in_cyanobacteria","0.0006083895549251566","0.003312343132370297","28","1.9387251637268152"
"Heteropolysaccharide_biosynthesis","0.0006649024962914727","0.003490738105530232","21","1.9348297123530827"
"PRPPGLNIMP.ANA","0.0008734653256722775","0.004427565616338785","12","1.907003200389221"
"Nucleotide_sugar_biosynthesis","0.0010900350450962573","0.005341171720971661","22","1.8277271197894998"
"Nitrogen_metabolism","0.0012290330197096803","0.005645870434291344","14","1.870326709594656"
"Cytosolic_reactions_of_nitrogen_metabolism","0.0012290330197096803","0.005645870434291344","14","1.870326709594656"
"Electron_transport_in_cyanobacterial_tylakoid_membrane","0.0020488132521263996","0.009126531759472143","17","1.72818572023583"
"Cell_wall_metabolism","0.0031043223603031914","0.013421629028369679","81","1.5921050213470618"
"Biosynthesis_of_nucleotide-sugar_precursors","0.00439470569631907","0.017945048259969534","16","1.5725157961600837"
"Sugar_precursors_of_streptococcal_capsular_and_exopolysaccharides","0.00439470569631907","0.017945048259969534","16","1.5725157961600837"
"CO2_fixation_pathways","0.004644130516725987","0.018139166865837587","26","1.5478092615476726"
"Oligosaccharides_membrane_transport","0.004689036332665499","0.018139166865837587","13","1.5906291255713303"
"Alcohol_and_aldehyde_degradation","0.007135799627215631","0.02689647551796661","13","1.4904707131909425"
"Acetyl-CoA--glyoxylate_biosynthesis","0.008264874356238593","0.030373413259176828","10","1.4810186196146136"
"Amino_acid_metabolism","0.00848755664340254","0.03043099577024813","216","1.3820120937466143"
"Coenzyme_and_cofactor_metabolism","0.009464055852669458","0.0331241954843431","60","1.3675326750648134"
"Bacterial_Translation_Factors","0.011069383337607255","0.037841845363448055","20","1.401114362674591"
"Glycogen_and_starch_degradation","0.013271076408924914","0.04410010148010418","13","1.3286859584041224"
"Phosphorus_metabolism","0.013500031065338015","0.04410010148010418","24","1.3005121534714867"
"Peptide_uptake","0.01486061680450617","0.04748936239700885","20","1.3868475378581764"
"Aminoacyl-tRNA_Biosynthesis","0.015502365990300486","0.04848612341647173","19","1.291687413736729"
