"Feature","Consortium_Early_R1","Consortium_Early_R2","Consortium_Early_R3","Consortium_Late_R1","Consortium_Late_R2","Consortium_Late_R3","PT8_Early_R1","PT8_Early_R2","PT8_Early_R3","PT8_Late_R1","PT8_Late_R2","PT8_Late_R3"
"RVCYZ000001",495,551,447,546,465,455,538,895,422,1492,1626,1600
"RVCYZ000002",1893,2264,1728,1430,1215,1384,1277,1759,1392,1480,1618,1557
"RVCYZ000003",225,317,177,220,183,134,244,438,179,950,979,908
"RVCYZ000004",74,129,53,63,64,41,110,208,250,403,398,427
"RVCYZ000005",38,45,32,33,28,18,39,53,35,166,167,129
"RVCYZ000006",159,243,143,182,127,124,184,280,345,713,701,694
"RVCYZ000007",233,277,132,166,151,91,233,473,410,976,1090,976
"RVCYZ000008",8377,10567,8161,6624,5532,5893,6894,7779,5684,5152,5101,4934
"RVCYZ000009",627,792,574,604,455,464,508,691,801,1083,1095,1062
"RVCYZ000010",334,365,270,294,259,203,368,645,231,1479,1445,1489
"RVCYZ000011",1331,1698,1237,1388,959,1158,1074,1541,1298,2025,2256,2209
"RVCYZ000012",6058,7302,5689,4646,3587,4096,4893,4815,2378,2132,1965,2112
"RVCYZ000013",561,748,601,525,418,403,570,643,786,807,865,943
"RVCYZ000014",691,828,581,528,448,499,478,708,1997,1040,915,962
"RVCYZ000015",929,1005,812,778,587,508,881,1151,2047,1766,1789,1824
"RVCYZ000016",1692,2327,1533,2067,1469,1518,1245,1476,3061,977,793,980
"RVCYZ000017",1124,1506,1042,1045,926,939,815,1008,1931,874,849,801
"RVCYZ000018",2634,3396,2543,2190,1822,1998,1934,2559,3989,2197,2181,2081
"RVCYZ000019",3165,4123,3127,2288,1868,1984,2804,3334,2670,1872,1880,1894
"RVCYZ000020",1814,2370,1880,1076,769,767,1472,1982,1393,1984,1943,1814
"RVCYZ000021",3663,4776,3804,2722,2360,2259,2650,3392,2175,3291,3544,3408
"RVCYZ000022",152,228,202,137,144,188,180,234,271,307,250,255
"RVCYZ000023",15927,20610,16601,11347,8884,10023,9978,10632,7184,3463,3145,2977
"RVCYZ000024",1076,1403,1100,822,719,667,876,1103,2002,1226,1273,1204
"RVCYZ000025",2697,3485,2758,2177,1730,1573,2479,3194,4416,4403,4517,4574
"RVCYZ000026",2214,2869,2088,2046,1776,1633,1899,2445,5030,3359,3126,2961
"RVCYZ000027",5969,7470,5577,4638,3807,3709,5198,5821,12359,5846,5578,5657
"RVCYZ000028",1105,1483,1166,959,767,866,953,1098,2313,826,672,707
"RVCYZ000029",2576,3385,2551,1876,1527,1557,2750,3530,4642,4503,4756,4547
"RVCYZ000030",452,445,376,567,484,477,365,474,269,598,614,687
"RVCYZ000031",1559,1926,1393,1780,1333,1356,1179,1542,812,1330,1305,1227
"RVCYZ000032",132,149,88,129,77,84,144,262,73,529,511,460
"RVCYZ000033",56,64,61,68,71,37,85,140,61,361,304,314
"RVCYZ000034",262,323,229,245,168,213,238,278,512,412,390,395
"RVCYZ000035",438,528,420,389,312,248,427,674,483,1075,1147,1066
"RVCYZ000036",1408,1793,1374,917,693,822,1554,1677,1663,921,848,832
"RVCYZ000037",590,755,592,389,340,344,588,846,1126,1246,1232,1191
"RVCYZ000038",103,121,149,62,79,75,130,140,162,274,249,168
"RVCYZ000039",557,779,625,433,299,269,635,834,1091,1201,1335,1376
"RVCYZ000040",555,741,530,372,259,264,480,644,971,905,854,863
"RVCYZ000041",1203,1508,1245,970,847,908,1095,1327,1544,1558,1490,1514
"RVCYZ000042",784,1035,713,707,537,522,510,651,1017,414,413,439
"RVCYZ000043",1404,1823,1326,1562,1195,1323,1212,1412,1808,1331,1361,1545
"RVCYZ000044",1355,1595,1236,1041,832,801,1084,1466,2573,1777,1654,1610
"RVCYZ000045",1191,1324,977,964,808,881,996,1232,1742,1749,1688,1783
"RVCYZ000046",3362,4144,3057,2262,1761,1844,2773,3625,5039,4230,4507,4586
"RVCYZ000047",6433,6596,7325,5159,5178,6028,5770,5438,2828,1287,1237,1296
"RVCYZ000048",1469,1862,1491,1355,1107,1272,1618,1441,1123,650,577,596
"RVCYZ000049",646,773,802,849,739,810,826,1034,311,1395,1383,1375
"RVCYZ000050",988,1257,943,848,712,604,1093,1639,934,2627,2904,2933
"RVCYZ000051",98,84,56,56,53,45,57,147,38,426,425,375
"RVCYZ000052",361,471,318,407,362,253,444,675,464,1282,1543,1488
"RVCYZ000053",309,392,277,304,288,194,339,691,747,1125,1244,1283
"RVCYZ000054",531,626,494,414,305,275,378,618,1205,931,1009,924
"RVCYZ000055",626,731,574,389,321,341,412,595,1317,798,813,803
"RVCYZ000056",742,1007,663,678,633,531,819,1214,1203,2037,2067,2244
"RVCYZ000057",1121,1492,1222,817,790,820,1193,1442,1461,1459,1552,1501
"RVCYZ000058",4297,5708,4491,4282,3760,3857,3888,4421,1850,1643,1423,1456
"RVCYZ000059",2288,3078,2191,2082,1613,1832,2088,2390,1032,1413,1482,1455
"RVCYZ000060",7346,8897,7422,9118,8133,9290,6147,6361,13252,4480,4360,4462
"RVCYZ000061",11597,14842,11438,13993,11990,13300,9240,10291,29440,8956,7756,7842
"RVCYZ000062",784,921,674,669,574,578,706,852,498,930,1063,1027
"RVCYZ000063",3722,4974,3619,3178,2614,2822,3309,4233,2583,3917,4145,3955
"RVCYZ000064",161,175,124,177,166,126,232,304,184,794,846,760
"RVCYZ000065",1652,1882,1742,1278,1088,1057,1514,1875,1415,2189,2334,2230
"RVCYZ000066",1233,1695,1288,1147,943,923,981,1345,593,1898,1892,1805
"RVCYZ000067",1552,2047,1560,1455,1185,1098,1407,1671,1660,2163,2114,2024
"RVCYZ000068",246,297,165,242,190,138,280,440,300,1038,1021,1091
"RVCYZ000069",200,302,170,187,123,130,208,319,901,809,736,723
"RVCYZ000070",199,213,124,167,139,106,194,311,394,705,777,732
"RVCYZ000071",591,754,539,571,469,422,773,1100,190,1835,2017,1991
"RVCYZ000072",362,568,390,330,249,280,300,477,376,560,545,544
"RVCYZ000073",1289,1706,1143,1153,944,807,909,1172,741,1395,1370,1299
"RVCYZ000074",964,1362,839,1012,723,688,725,973,609,1160,1129,1103
"RVCYZ000075",957,1353,1011,794,661,639,893,1270,980,1611,1649,1711
"RVCYZ000076",547,701,429,609,561,343,744,1435,229,3130,3010,3241
"RVCYZ000077",272,277,180,275,195,121,271,580,127,1118,1180,1251
"RVCYZ000078",7136,9464,7200,6300,5146,5714,6986,8600,7499,7362,7111,7015
"RVCYZ000079",739,789,667,564,491,400,697,992,1221,1638,1808,1802
"RVCYZ000080",2431,3048,2378,1986,1622,1798,1859,2082,7556,1814,1795,1701
"RVCYZ000081",4008,4962,3801,3519,3068,3540,3366,3789,8124,2602,2350,2494
"RVCYZ000082",12158,14984,10940,9940,7166,8312,10232,8996,9059,2675,2372,2255
"RVCYZ000083",2142,2634,1816,1941,1530,1513,1561,1849,8171,2759,2485,2427
"RVCYZ000084",766,895,731,784,583,613,593,939,2098,1349,1249,1249
"RVCYZ000085",236,270,237,244,231,207,274,369,235,477,527,463
"RVCYZ000086",1953,2557,1874,2033,1710,1915,1784,2605,2806,2910,2890,2966
"RVCYZ000087",2716,3565,2728,2324,1901,1965,2637,2654,1387,1931,2075,1920
"RVCYZ000088",703,895,674,507,450,351,771,917,496,1336,1267,1275
"RVCYZ000089",1197,1654,1296,779,655,756,1219,1558,533,1013,1009,1106
"RVCYZ000090",1824,2231,1687,1307,1053,1074,2046,2373,700,2246,2452,2437
"RVCYZ000091",2266,2893,2178,1941,1663,1823,2130,2505,3654,3243,3329,3186
