"Name","P Value","Q Value","Set Size","Stat Mean"
"Carbohydrate_membrane_transport","2.2673859127013022e-15","5.419052331356113e-13","453","-4.5578318479353905"
"Monosaccharide_membrane_transport","7.6451838136641e-11","9.1359946573286e-9","349","-3.721399199538583"
"Bacterial_Transcription_Regulators","2.8034170153535226e-7","0.000022333888888983064","183","-2.914368917138385"
"Teichoic_lipoteichoic_and_teichuronic_acid_biosynthesis","0.00019942756758344193","0.011915797163110656","12","-2.188498955155494"
"Disaccharides_membrane_transport","0.00029434453912067067","0.01206509113328061","55","-2.0120115557168674"
"N-acetylglucosamine_membrane_transport","0.00030288931715348813","0.01206509113328061","62","-2.0026940038134695"
"Polyols_membrane_transport","0.0003711717761638974","0.012672864929024499","24","-2.008929543425943"
"L-homocysteine_biosynthesis","0.00045587105868378445","0.01361914787817806","16","-2.0304671396066913"
"Galactitol_uptake,_PTS_system","0.0005461249471836952","0.014502651375211463","14","-1.980457488187051"
"Bacterial_Transcription_Regulation","0.0006463353124780995","0.01489656743912286","254","-1.8623298075995693"
"Glucose_membrane_transport","0.0006856160746039811","0.01489656743912286","57","-1.8694139585075784"
"Bacterial_Transcription","0.001194367304929706","0.02278108770713992","296","-1.7567824916919277"
"Bacterial_Transcription_Antitermination","0.00123913866189464","0.02278108770713992","22","-1.8032508418991662"
"Cellobiose_degradation","0.0017277338196256102","0.025975082143866842","38","-1.7233275864875819"
"Proton-motive_cycle","0.0021233970456892523","0.025975082143866842","72","-1.7339503163005243"
"Nitrogen_metabolism","0.002352937415235181","0.025975082143866842","25","-1.6797452489899436"
"D-glucosamine_uptake_mannose_PTS_forming_glucosamine-6-phosphate","0.0023910117454605463","0.025975082143866842","52","-1.6467272800497472"
"D-glucose_uptake_mannose_PTS_forming_glucose-6-phosphate","0.0023910117454605463","0.025975082143866842","52","-1.6467272800497472"
"D-mannosamine_uptake_mannose_PTS_forming_mannosamine-6-phosphate","0.0023910117454605463","0.025975082143866842","52","-1.6467272800497472"
"N-acetylglucosamine_uptake_mannose_PTS_forming_GlcNAc-6-phosphate","0.0023910117454605463","0.025975082143866842","52","-1.6467272800497472"
"N-acetylmannosamine_uptake_mannose_PTS_forming_ManNAc-6-phosphate","0.0023910117454605463","0.025975082143866842","52","-1.6467272800497472"
"D-mannose_uptake_mannose_PTS_forming_mannose-6-phosphate","0.0023910117454605463","0.025975082143866842","52","-1.6467272800497472"
"Cellobiose_uptake,_PTS_system","0.0025486246812843243","0.026483534731606678","18","-1.6746120409610012"
"Bacterial_Photosynthesis","0.003027857108606572","0.027857748633717927","26","-1.649417017602938"
"Photosynthesis_and_respiration_in_cyanobacteria","0.003027857108606572","0.027857748633717927","26","-1.649417017602938"
"Purine_salvage_pathways","0.003147773599448391","0.027857748633717927","44","-1.6064393069769256"
"Ammonia_assimilation","0.003197616689446692","0.027857748633717927","11","-1.675024738645062"
"Cytosolic_reactions_of_nitrogen_metabolism","0.0032636692960004263","0.027857748633717927","24","-1.6159580301945913"
"Cellobiose_membrane_transport","0.003538484673297376","0.02916199437648527","19","-1.6025372096448731"
"Assimilation_of_oligosaccharides_and_disaccharides","0.0045321051124663884","0.035249262542787284","101","-1.5170633603278887"
"Homopolysaccharides_biosynthesis","0.004719566532925494","0.035249262542787284","15","-1.5605817683137124"
"Curdlan_biosynthesis","0.004719566532925494","0.035249262542787284","15","-1.5605817683137124"
"Biosynthesis_of_GTP-derived_cofactors","0.005028844426281676","0.03642102478428244","13","-1.5416874021185192"
"Bacterial_Transcription_Repressors","0.013230213319069472","0.0930006171546354","16","-1.3306342119373589"
"Bacterial_Transcription_Regulators","0.016795593417524728","0.11203062113290589","210","-1.2290348084004046"
"Lipid_degradation","0.016874905275249423","0.11203062113290589","20","-1.2556605290324416"
"Electron_transport_in_cyanobacterial_tylakoid_membrane","0.02215930334398202","0.1431371216003163","14","-1.2174234499325096"
"Degradation_of_cysteine,_serine_and_alanine","0.023559359698123866","0.1481759728382001","17","-1.176552061034478"
"Nucleotide_sugar_biosynthesis_from_pentoses","0.02731997515315811","0.16742241183602022","10","-1.1612992388954937"
"Bacterial_unclassified_recombination_proteins","0.029029284214527013","0.17083692832059996","25","-1.1093061148619003"
"Cytosolic_reactions_of_phosphorus_metabolism","0.029306753393910454","0.17083692832059996","14","-1.13435042912071"
"Amino_acid_efflux","0.03050415945133773","0.17358319306832662","13","-1.1168914170139623"
"Photosynthesis_in_cyanobacteria","0.03430118500105365","0.1906507724477168","12","-1.1054367695964527"
"Mannose_membrane_transport","0.035336260815102764","0.19194014397294457","57","-1.0499244644672208"
"Signal_transduction","0.03716763505850344","0.1974014395329405","83","-1.0390758908111333"
"Carbohydrate_assimilation","0.04765534209982836","0.24656350848642428","377","-0.9642496179324922"
"Degradation_of_aromatic_amino_acids","0.0484873845140667","0.24656350848642428","10","-1.019665648827035"
"Pyrimidine_salvage_pathways","0.053379917238010756","0.2657875045809286","43","-0.9456204047793456"
"Thiamine_biosynthesis","0.06178601370289069","0.3008168143222117","14","-0.9131879854891918"
"Two-component_signal_transduction","0.06293238793351709","0.3008168143222117","65","-0.8908239527415924"
"CO2_fixation_via_Calvin_cycle","0.0708801690868446","0.33216392964227176","38","-0.855395951173852"
"Potassium_uptake","0.08977242050061617","0.41260785576244735","15","-0.7981733169534009"
"Polysaccharide_degradation","0.09624821826293616","0.42540358944145296","25","-0.7607512565167586"
"CO2_fixation_pathways","0.09748112137333924","0.42540358944145296","53","-0.7537634996878226"
"Bacterial_SSU","0.09789622351163142","0.42540358944145296","17","-0.7628720773681471"
"Bacterial_Response_Regulators","0.10171608471243516","0.4341097186834287","12","-0.7573287195677053"
"Bacterial_Regulatory_Proteolysis","0.10913433098951561","0.45759833520165316","15","-0.7212748289292332"
"Unknown_substrate_transporters","0.11555467174935713","0.4761649404844199","84","-0.6944356152938075"
"Two_component_signal_transduction_groupIIIB_NtrB","0.11982639226064552","0.481274231445135","11","-0.7010771570865737"
"Diacetylchitobiose_and_chitobiose_degradation","0.12185110159158186","0.481274231445135","19","-0.688385183855135"
"Multidrug_efflux_sodium_antiport_MATE_family","0.12283568250273319","0.481274231445135","16","-0.6858388703061432"
"Cellobiose_6-phosphate_hydrolysis_via_6-phospho-beta-glucosidase","0.1299593281017937","0.49009572609509144","18","-0.6658015384047783"
"Chitobiose-6-phosphate_hydrolysis","0.1299593281017937","0.49009572609509144","18","-0.6658015384047783"
"Aminosugar_degradation","0.1312390228873885","0.49009572609509144","17","-0.6602846343489196"
"Carboxylic_acids_membrane_transport","0.13561355979374573","0.4901659020456003","14","-0.6728212763049234"
"Nitrogen_fixation","0.13574547554247882","0.4901659020456003","11","-0.6556292636731886"
"Two_component_signal_transduction_miscellaneous","0.13741052484123523","0.4901659020456003","29","-0.6387360480805324"
"CO2H2OF6PCPS.ANA","0.1406055205668236","0.49418705022751236","30","-0.628004284353013"
"Fructose-bisphosphate_aldolase","0.14403599299347208","0.49659659092371083","12","-0.6300456871735929"
"Bacterial_cell_division","0.14544670027054293","0.49659659092371083","19","-0.616974413056602"
"Bacterial_metallopeptidases","0.14952013619416635","0.5033142612733205","16","-0.6125923651320108"
"GLNCO2NH3UMPCO2.ANA","0.16294388820268532","0.5301527874044727","11","-0.592684532003589"
"Signal_transduction_miscellaneous","0.16427441578653967","0.5301527874044727","10","-0.5853977315980983"
"NAD_and_NADP_metabolism","0.16510405491770183","0.5301527874044727","11","-0.5818268393162597"
"R1PF6PGAP.ANA","0.16636593747002282","0.5301527874044727","21","-0.5652317842623363"
"Glucose_phosphorylation","0.18556104364396317","0.5776035270046246","10","-0.5429875783923914"
"FALGAP.ANA","0.1862623187158682","0.5776035270046246","34","-0.5184979855330389"
"Degradation_of_polyols","0.1885065904031829","0.5776035270046246","14","-0.5183102872697241"
"Bacterial_Chromosomal_Replication_Elongation","0.19210905423890007","0.5811906830771787","12","-0.515580147686979"
"TAT_pathway","0.19877820678757394","0.5865184126201255","16","-0.49597377638944495"
"TAT_pathway_secreted_proteins","0.19877820678757394","0.5865184126201255","16","-0.49597377638944495"
"Bacterial_metallopeptidases","0.20517551274368973","0.5960332406880934","17","-0.4835035339093132"
"Capsular_and_exopolysaccharide_metabolism","0.2069906233351956","0.5960332406880934","52","-0.473841449028244"
"Galactose_degradation","0.21553471078997294","0.6110724103049509","14","-0.4625034582793887"
"Multidrug_resistance_proteins","0.21732700784904113","0.6110724103049509","20","-0.4585224082902839"
"Secretion","0.22518053349763334","0.617427589193164","52","-0.43852976849714065"
"Amino_acid_biosynthesis","0.22659451123920005","0.617427589193164","156","-0.4340122783319468"
"Coenzyme_and_cofactor_metabolism","0.22733735501672986","0.617427589193164","82","-0.43265228738432954"
"Bacterial_Ribosomal_Complex","0.2525973482568995","0.6783232161056065","72","-0.38637937087385504"
"One-carbon_metabolism","0.2565306717229834","0.681231450464367","32","-0.3806942408128544"
"ABC_transporter_for_unknown_substrate","0.27660132650576597","0.7225439865651169","67","-0.3439687241954518"
"Bacterial_DNA_Replication","0.2814001372984282","0.7225439865651169","25","-0.3387336043820211"
"Biosynthesis_of_sulfur-containing_coenzymes","0.2850650640860075","0.7225439865651169","25","-0.3305693383929658"
"R5PF6PGAP.ANA","0.2857806959965298","0.7225439865651169","19","-0.3300806962317192"
"Carbohydrate_biosynthesis","0.2872036766681427","0.7225439865651169","162","-0.3247288442916614"
"Phosphorus_metabolism","0.29778954137477864","0.741371879047626","39","-0.30884976047114154"
"Bacterial_rRNA_processing","0.31695507209878226","0.7653043483450407","18","-0.27929093707325486"
"D-Arabinose_oxidation","0.31700891416802945","0.7653043483450407","14","-0.2785285447767879"
"DARAPYRGLA.CAT","0.31700891416802945","0.7653043483450407","14","-0.2785285447767879"
"Bacterial_RNA_Processing","0.3271765975339628","0.7819520681061711","35","-0.2616302494766639"
"Bacterial_aerobic_respiration_proton_transport_and_oxidative_phosphorylation","0.33720771456085186","0.7890800131280422","17","-0.24531354582396953"
"D-arabinose_and_D-ribose_degradation","0.33953024837164886","0.7890800131280422","38","-0.23999471241723916"
"Extracellular_and_periplasmic_carbohydrate_degradation","0.3400637713480684","0.7890800131280422","24","-0.23985114165908725"
"Protein_Folding","0.3455197866319292","0.7940310481252988","13","-0.2365019038050438"
"Drug_export","0.3739673620356433","0.8512209478716071","30","-0.1870115784847988"
"SAM_metabolism","0.38188842855644944","0.86105032476407","12","-0.17676159080720796"
"Nucleotide_metabolism","0.3887501708267411","0.8683298208186088","212","-0.1635418167446765"
"Biosynthesis_of_nucleotide-sugar_precursors","0.3988881602475782","0.8696569822239549","12","-0.15058448364903507"
"Sugar_precursors_of_streptococcal_capsular_and_exopolysaccharides","0.3988881602475782","0.8696569822239549","12","-0.15058448364903507"
"Bacterial_LSU","0.40052770190725684","0.8696569822239549","28","-0.14652571338250983"
"PRPPHIS.ANA","0.40389926789480746","0.8696569822239549","14","-0.14251887606001343"
"Bacterial_Basic_Transcription","0.41655138392336233","0.888890899622175","42","-0.12206224468058852"
"Fructose_and_mannose_degradation","0.43840753314215325","0.9272513311590674","25","-0.09024316017393036"
"PECEXTGAPPYROMPPLPLMCYTV53112.CAT","0.4463474375581428","0.9357634875122468","10","-0.07917585762157547"
"Bacterial_tRNA_Processing","0.46544198004897763","0.9560443252142282","12","-0.051845609817169624"
"Mismatch_Repair","0.4667038958164848","0.9560443252142282","25","-0.048660076403352015"
"Bacterial_Chromatin_Architecture","0.46802169895424567","0.9560443252142282","28","-0.046572936015296405"
"Bacterial_Amino_peptidases","0.48562294039833137","0.9810739085906797","24","-0.021800005762238745"
"Embden-Meyerhoff_pathway","0.4884844984196271","0.9810739085906797","16","-0.016908224317660814"
"Nucleotide_sugar_biosynthesis","0.5026443190356035","0.9942174697544963","38","0.003907942850829324"
"Glucose,_allose_and_gluconate_degradation","0.5172456816830199","0.9942174697544963","13","0.02522494449921123"
"Alcohol_and_aldehyde_degradation","0.5245466382166968","0.9942174697544963","45","0.03576145011620533"
"Bacterial_Chromosomal_Replication_Initiation","0.528875560630111","0.9942174697544963","13","0.04245687230079347"
"Degradation_of_uronic_acids","0.5307253818169088","0.9942174697544963","27","0.04474093728121991"
"OAAG6P.ANA","0.5309792379985162","0.9942174697544963","20","0.045261606220727585"
"Bacterial_Recombination_Synapsis","0.5358734871410129","0.9942174697544963","13","0.05253821622862237"
"Bacterial_DNA_Recombination","0.5359641028188571","0.9942174697544963","50","0.05225696524086951"
"Biosynthesis_of_iron_cofactors","0.536031792509574","0.9942174697544963","13","0.053174141477050275"
"Actinomycete_development","0.5366278393235566","0.9942174697544963","22","0.05386921115562557"
"Bacterial_Protein_Biosynthesis","0.5597770973488982","0.9999999999999987","126","0.08888955059600767"
"Gluconeogenesis","0.5598958959113394","0.9999999999999987","57","0.08727785216216533"
"Bacterial_amino_peptidases","0.5685062252738076","0.9999999999999987","15","0.10063747961007814"
"Long-Patch_MMR","0.5764556384575373","0.9999999999999987","20","0.11226897986857"
"PRPPGLNIMP.ANA","0.5793822643245433","0.9999999999999987","11","0.11837417183391406"
"Metals_uptake_PM","0.5979582052296857","0.9999999999999987","36","0.14384797935706206"
"Base_Excision_Repair_BER","0.6133284359545238","0.9999999999999987","15","0.1682603766851768"
"Bacterial_Endogenous_Protein_Quality_Control_and_Degradation","0.6277318697494974","0.9999999999999987","18","0.1896713205321149"
"3PGSERPI.CAT","0.6529093117342742","0.9999999999999987","10","0.23063563437142226"
"Sorbose_degradation","0.6599122152940604","0.9999999999999987","17","0.24175528684012065"
"L-serine_biosynthesis","0.6599283547967708","0.9999999999999987","12","0.2410511461180098"
"Bacterial_Miscellaneous_Translation_Proteins","0.6643674115332241","0.9999999999999987","11","0.2551574587939114"
"Pentose_phosphate_shunt","0.6792512234009209","0.9999999999999987","24","0.2705203320064613"
"Signal_Peptide_Release","0.6910435461002693","0.9999999999999987","16","0.29173957172586"
"Sec-Dependent_Secretion_Stages","0.6945426067090845","0.9999999999999987","21","0.2974559108356551"
"Quorum_sensing_types","0.7031063028040433","0.9999999999999987","27","0.30995335898532433"
"Bioenergetics","0.7078578241803279","0.9999999999999987","158","0.3172205501770519"
"Aminoacyl-tRNA_Biosynthesis","0.7106076720610995","0.9999999999999987","20","0.32974414855016976"
"Motility_and_Chemotaxis","0.7251415737265879","0.9999999999999987","15","0.3494389063558967"
"Aminoacyl_tRNA_Biosynthesis","0.7383185775498369","0.9999999999999987","21","0.3787322875205805"
