"Name","P Value","Q Value","Set Size","Stat Mean"
"Sporulation","1.3858351224590427e-15","3.312145942677112e-13","57","4.869452069571803"
"Sporulation-stages","7.883492320457971e-13","6.89561899501652e-11","37","4.400572886824903"
"Bacterial_electron_transport_flavoprotein-quinone_oxidoreductases","8.655588696673456e-13","6.89561899501652e-11","12","5.29862471607483"
"Cellular_processing","5.439641976130103e-11","3.2501860807377366e-9","120","3.798134354568679"
"Gram_positive_sporulation_stage-V","2.6005582448079538e-9","1.2430668410182018e-7","11","4.099348591068448"
"Peptidoglycan_metabolism","8.348950998137436e-9","3.3256654809247455e-7","56","3.372898936855254"
"Bacterial_membrane_attached_embedded_dehydrogenases_and_oxidoreductases_anaerobic_respiration","4.05962850462858e-8","0.000001386073160866044","18","3.3697446959909363"
"Peptidoglycan_biosynthesis","0.00000259174585127173","0.00007742840730674293","38","2.723801016149826"
"UDP-N-acetylmuramoyl-oligo(depsi)peptide_biosynthesis","0.0000036069105361884185","0.00009578351312767022","23","2.744935395836037"
"Fatty_acid_biosynthesis","0.000007480791339836827","0.00017879091302210016","13","3.179726920857081"
"Anaerobic_respiratory_chain_proton_transport_and_oxidative_phosphorylation","0.00000837296837419493","0.00018192176740296256","34","2.5644900844718297"
"Peptide_uptake","0.00002928517516780442","0.0005832630720921047","18","2.5055965020933937"
"Cell_wall_metabolism","0.0003007591799315983","0.005376214389147919","128","1.992615991034884"
"Phage","0.00031492469225134247","0.005376214389147919","157","1.982262491994958"
"Lysine_degradation","0.00035549425795457007","0.005484322405673963","11","2.08805248892499"
"Bacterial_respiration_proton_transport_and_oxidative_phosphorylation","0.00036715129075641593","0.005484322405673963","51","1.9794075195411545"
"Bacterial_sporulation_transcription_regulators","0.0008987015485050177","0.011932759449594403","26","1.8571486835901616"
"Gram_positive_sporulation_regulation","0.0008987015485050177","0.011932759449594403","26","1.8571486835901616"
"Virulence","0.001982525891071422","0.024938088840319467","126","1.6714499178416091"
