"Name","P Value","Q Value","Set Size","Stat Mean"
"Carbohydrate_membrane_transport","3.1916815859057637e-8","0.000007628118990314775","453","3.1332895323139587"
"Monosaccharide_membrane_transport","1.1545114759732092e-7","0.00001379641213787985","349","2.9985706931952625"
"Polyols_membrane_transport","0.0000035158250437911493","0.00028009406182202823","24","2.7334271124639407"
"Lipid_degradation","0.00003112508991177954","0.0018597241222288274","20","2.5942692681725363"
"Cellobiose_uptake,_PTS_system","0.00008647630450520713","0.004133567355348901","18","2.2984641619027357"
"Galactitol_uptake,_PTS_system","0.00010781507145667888","0.004294633679691042","14","2.2733062911024247"
"Cellobiose_membrane_transport","0.00015985031409751626","0.005457746438472341","19","2.1921397405616525"
"D-glucosamine_uptake_mannose_PTS_forming_glucosamine-6-phosphate","0.0023625481590514408","0.043096023850963935","52","1.6475617736860189"
"D-glucose_uptake_mannose_PTS_forming_glucose-6-phosphate","0.0023625481590514408","0.043096023850963935","52","1.6475617736860189"
"D-mannosamine_uptake_mannose_PTS_forming_mannosamine-6-phosphate","0.0023625481590514408","0.043096023850963935","52","1.6475617736860189"
"N-acetylglucosamine_uptake_mannose_PTS_forming_GlcNAc-6-phosphate","0.0023625481590514408","0.043096023850963935","52","1.6475617736860189"
"N-acetylmannosamine_uptake_mannose_PTS_forming_ManNAc-6-phosphate","0.0023625481590514408","0.043096023850963935","52","1.6475617736860189"
"D-mannose_uptake_mannose_PTS_forming_mannose-6-phosphate","0.0023625481590514408","0.043096023850963935","52","1.6475617736860189"
"Ammonia_assimilation","0.0025244532799727827","0.043096023850963935","11","1.705031049156396"
"Glucose_membrane_transport","0.0035777677336838684","0.05700576589002964","57","1.5673529542511333"
"N-acetylglucosamine_membrane_transport","0.0047414903035762155","0.07082601140966972","62","1.5103885351615587"
"Fructose-bisphosphate_aldolase","0.006831687391101069","0.09604548743959739","12","1.4843408451369606"
"CO2H2OF6PCPS.ANA","0.009155194363169082","0.12156063626652282","30","1.3838942250713733"
"Cellobiose_degradation","0.013473304896380097","0.16947999317025492","38","1.292580409293986"
"OAAG6P.ANA","0.02206391136199863","0.259548686502142","20","1.1865888891439498"
"Aminosugar_degradation","0.02365446163337824","0.259548686502142","17","1.1844609811106437"
"PECEXTGAPPYROMPPLPLMCYTV53112.CAT","0.023927030244006418","0.259548686502142","10","1.2057093827559848"
"FALGAP.ANA","0.02517317900639327","0.259548686502142","34","1.141747399365376"
"Nucleotide_sugar_biosynthesis_from_pentoses","0.02606346642699334","0.259548686502142","10","1.1626302800721184"
"Alcohol_and_aldehyde_degradation","0.028708251115526693","0.2744508806644352","45","1.105137928337488"
"Amino_acid_efflux","0.03472341367817722","0.31918830265709053","13","1.1169222077465577"
"Homopolysaccharides_biosynthesis","0.037636081955525466","0.3212508424060924","15","1.0494372668434773"
"Curdlan_biosynthesis","0.037636081955525466","0.3212508424060924","15","1.0494372668434773"
"Degradation_of_uronic_acids","0.049684853993208454","0.40947172773713175","27","0.9819652815638727"
"Potassium_uptake","0.05286678420721224","0.4211720475174575","15","0.9633424577251044"
"L-homocysteine_biosynthesis","0.05655289575563942","0.4360045834063813","16","0.9320605506578442"
"GLNCO2NH3UMPCO2.ANA","0.06084253482672047","0.4486261363604694","11","0.9688636032801283"
"Extracellular_and_periplasmic_carbohydrate_degradation","0.061944194560232174","0.4486261363604694","24","0.9053171998190662"
"R1PF6PGAP.ANA","0.07445839757269536","0.5233987358786527","21","0.8440199887727335"
"Degradation_of_polyols","0.08475050558423508","0.5787248809894909","14","0.8102633047595248"
"Nitrogen_metabolism","0.0891095010327157","0.584809827848033","25","0.7848230554803436"
"Carbohydrate_assimilation","0.0905354126794026","0.584809827848033","377","0.7730245557846984"
"Metals_uptake_PM","0.10216003640143347","0.6425328605248053","36","0.7372311502204785"
"Protein_Folding","0.10984880835146812","0.6545597082150739","13","0.7222026699526408"
"Disaccharides_membrane_transport","0.11107103669978585","0.6545597082150739","55","0.7118046922410979"
"Embden-Meyerhoff_pathway","0.11228848550969887","0.6545597082150739","16","0.7134368822084315"
"Assimilation_of_oligosaccharides_and_disaccharides","0.11999400145236792","0.6828230082646651","101","0.6801760692494373"
"Cytosolic_reactions_of_nitrogen_metabolism","0.12311737256291294","0.6843035358729347","24","0.6757195051589101"
"Mannose_membrane_transport","0.1426021333154509","0.7745888605089265","57","0.6190757416751443"
"CO2_fixation_via_Calvin_cycle","0.14747200836631352","0.7832402222121985","38","0.609149236250149"
"R5PF6PGAP.ANA","0.15574454276167363","0.7944109752570635","19","0.5910728181773913"
"D-Arabinose_oxidation","0.15954697411020521","0.7944109752570635","14","0.59007095101637"
"DARAPYRGLA.CAT","0.15954697411020521","0.7944109752570635","14","0.59007095101637"
"Gluconeogenesis","0.18737675987388433","0.91393970632364","57","0.514415208739146"
"Signal_Peptide_Release","0.20291182506584612","0.9689370571915153","16","0.485891435406237"
