"Name","P Value","Q Value","Set Size","Stat Mean"
"Bacterial_Protein_Biosynthesis","3.132843039097924e-39","7.487494863444038e-37","126","-7.998011132747747"
"Proton-motive_cycle","5.734359092006611e-34","6.8525591149479e-32","72","-7.794748113829191"
"Bacterial_Ribosomal_Complex","2.5321925263210893e-33","2.0173133793024678e-31","72","-7.560357030207009"
"Bacterial_LSU","2.04795951016639e-26","1.223655807324418e-24","28","-7.519639595026075"
"Bacterial_Protein_Metabolism","1.685158067349896e-24","8.055055561932503e-23","273","-5.956658023100924"
"Bioenergetics","2.2753541256798328e-24","9.063493933958001e-23","158","-6.021069022940922"
"Bacterial_SSU","3.7393723809960905e-16","1.2767285700829511e-14","17","-5.71567158095453"
"Amino_acid_membrane_transport","4.6063669124120524e-12","1.3761521150831005e-10","78","-4.0867880351260295"
"Peptide_uptake","1.3450410419086105e-9","3.571831211290644e-8","18","-3.823263168847442"
"Teichoic_lipoteichoic_and_teichuronic_acid_biosynthesis","1.2244918484252822e-8","2.9265355177364245e-7","12","-3.7172034979144826"
"Leu_Ile_Val_uptake","1.801666866325532e-7","0.000003914530736834565","18","-3.338606049141215"
"Bacterial_Translation_Factors","0.0000010586088390620398","0.000021083959377985625","22","-2.8981582373064305"
"Cell_wall_metabolism","0.0000018955579736832869","0.00003484910428540812","128","-2.6935681520096404"
"Biosynthesis_of_iron_cofactors","0.000005129360000916734","0.00008756550287279282","13","-2.7804080772420696"
"Bacterial_DNA_Repair","0.000010223705915319507","0.00016289771425075748","114","-2.4827708600093454"
"Pyrimidine_salvage_pathways","0.000015333518586159116","0.0002290444338807518","43","-2.460941983492516"
"Oligopeptide_uptake_opp_ABC_transporter","0.00002109745426304565","0.00029660538640399476","10","-2.6218212244200663"
"Bacterial_Transcription","0.000025892925229829172","0.00034380050721828734","296","-2.343540236999366"
"Bacterial_RNA_Processing","0.000037893761335168314","0.0004766636294265909","35","-2.3423524316168267"
"Carboxylic_acids_membrane_transport","0.00005756719132049053","0.0006879279362798618","14","-2.4177810682209806"
