"Name","P Value","Q Value","Set Size","Stat Mean"
"Lipid_degradation","7.171211575642727e-10","1.7139195665786116e-7","20","4.109955799698972"
"Metals_uptake_PM","0.00006472764490118725","0.00559105073895507","36","2.2607980741112477"
"Ion_membrane_transport","0.00007018055320864104","0.00559105073895507","74","2.2224684734626843"
"Ammonia_assimilation","0.00036339915710032855","0.021050976467505415","11","2.091785317927356"
"Phage","0.0004403969972281468","0.021050976467505415","157","1.9277689365425181"
"Alcohol_and_aldehyde_degradation","0.0006381499498525664","0.02383210722473604","45","1.8858884779796568"
"OAAG6P.ANA","0.0006980115086742773","0.02383210722473604","20","1.9079995872392372"
"Potassium_uptake","0.0014761732730432674","0.044100676532167614","15","1.7918243047572175"
"Fructose-bisphosphate_aldolase","0.0019419415728483343","0.046802714228963996","12","1.745919278169988"
"Carbohydrate_assimilation","0.001958272561881339","0.046802714228963996","377","1.6699299516103536"
"Streptococcus_phage","0.002423409951896121","0.0526540889548339","78","1.636789564951381"
"CO2H2OF6PCPS.ANA","0.011762424245346875","0.22692625210936848","30","1.3239787407103625"
"Gram_positive_sporulation_stage-V","0.012888050995581882","0.22692625210936848","11","1.3777129673096349"
"Embden-Meyerhoff_pathway","0.013292751169586437","0.22692625210936848","16","1.3125668717762013"
"Bacterial_electron_transport_flavoprotein-quinone_oxidoreductases","0.02066580103913347","0.32927509655685994","12","1.231908811758532"
"FALGAP.ANA","0.023930780610540762","0.35636711769894913","34","1.154698302060278"
"Phosphorus_regulated_systems","0.02534828870661981","0.35636711769894913","20","1.16007122751278"
"Streptococcus_phage_proteins","0.02847952033356517","0.378144742206782","36","1.1087843167289138"
"Biosynthesis_of_tetrapyrrole_coenzymes","0.0328956809603599","0.4137930394487377","16","1.0929267646159853"
"Degradation_of_glutamate,_glutamine,_lysine,_proline_and_arginine","0.03614131957999323","0.4318887689809191","32","1.051448074923785"
"Formate_fermentation","0.046873417008125515","0.5316225846886152","17","1.0027943500322323"
"Purine_salvage_pathways","0.048935970138700984","0.5316225846886152","44","0.9657602192536793"
"D-Arabinose_oxidation","0.05877089231507749","0.5611867867860972","14","0.9328133910251075"
"DARAPYRGLA.CAT","0.05877089231507749","0.5611867867860972","14","0.9328133910251075"
"Sorbose_degradation","0.05883558005767024","0.5611867867860972","17","0.9941424608481854"
"Amino_acid_catabolism","0.06104960860434531","0.5611867867860972","95","0.896028356280212"
