Feature,Consortium_Early_R1,Consortium_Early_R2,Consortium_Early_R3,Consortium_Late_R1,Consortium_Late_R2,Consortium_Late_R3,HGF2_Early_R1,HGF2_Early_R2,HGF2_Early_R3,HGF2_Late_R1,HGF2_Late_R2,HGF2_Late_R13
CHGFRNA000005,0,0,0,0,0,0,37,33,31,14,7,5
CHGFRNA000009,0,0,0,0,0,0,7,5,14,13,7,8
CHGFRNA000010,1,2,0,0,0,0,186,178,143,69,36,26
CHGFRNA000011,1,2,0,0,0,0,186,178,143,69,36,26
CHGFRNA000012,0,0,0,0,0,0,116,108,44,56,36,20
CHGFRNA000013,0,0,0,0,0,0,17,36,17,22,7,8
CHGFRNA000014,0,0,0,0,0,0,36,34,14,104,52,32
CHGFRNA000015,0,0,0,0,0,0,434,423,293,151,72,50
CHGFRNA000016,0,0,0,0,0,0,36,34,14,104,52,32
CHGFRNA000024,0,0,0,0,0,0,17,29,20,26,8,11
CHGFRNA000025,0,0,0,0,0,0,17,36,17,22,7,8
CHGFRNA000026,2,0,0,0,0,0,601,479,188,291,294,210
CHGFRNA000036,0,0,1,0,3,0,172,163,39,68,48,36
CHGFRNA000038,0,1,1,0,1,0,63,57,38,49,14,13
CHGFRNA000041,0,0,0,0,0,0,14,21,18,21,9,2
CHGFRNA000042,1,0,2,3,0,0,393,542,389,447,139,102
CHGFRNA000043,1,4,0,4,0,0,109,167,68,175,192,111
CHGFRNA000044,0,2,0,0,0,0,49,61,13,142,145,97
CHGFRNA000045,0,0,0,0,0,0,205,171,158,367,244,146
CHGFRNA000046,0,10,0,0,0,0,39,32,23,112,53,29
CHGFRNA000047,0,0,0,0,0,2,17,12,33,32,17,14
CHGFRNA000060,0,0,0,0,0,0,38,68,58,225,21,9
CHGFRNA000061,82461,102236,94988,48338,45337,51167,4150706,4370784,3907152,6546505,7828823,6816795
CHGFRNA000062,9851,12464,10678,6483,6636,9029,48508,47654,44624,451764,187540,85829
CHGFRNA000073,0,0,0,0,0,0,78,64,62,65,34,38
CHGFRNA000074,2,0,0,0,0,0,57,32,30,12,12,13
CHGFRNA000075,0,1,0,0,0,0,100,84,40,16,0,10
CHGFRNA000077,0,0,0,0,0,0,38,38,35,24,19,12
CHGFRNA000080,0,0,0,0,0,0,18,27,20,45,19,6
CHGFRNA000081,0,2,1,0,0,0,196,159,164,234,125,64
CHGFRNA000082,1,0,1,0,0,0,326,311,100,33,20,18
CHGFRNA000083,1,0,1,0,0,0,326,311,100,33,20,18
CHGFRNA000084,0,0,0,0,0,0,116,108,44,56,36,20
CHGFRNA000085,2,3,1,3,0,2,388,350,90,78,48,31
CHGFRNA000086,1,0,0,0,0,0,16,12,10,51,40,18
CHGFRNA000087,3,3,0,0,0,0,183,227,116,297,168,96
CHGFRNA000088,0,0,0,0,5,0,191,207,282,226,105,64
CHGFRNA000089,0,0,0,0,0,0,43,53,107,98,76,41
CHGFRNA000090,0,0,0,0,0,0,183,147,154,200,116,60
CHGFRNA000092,0,0,0,1,0,0,263,204,110,164,83,75
CHGFRNA000094,1,0,0,2,1,0,356,341,416,999,291,126
CHGFRNA000095,3,0,0,0,0,2,31,58,14,12,13,7
CHGFRNA000096,0,0,0,0,0,0,312,268,425,369,274,168
CHGFRNA000097,0,0,0,0,0,0,312,268,425,369,274,168
CHGFRNA000100,1,0,0,0,0,0,143,172,44,36,10,5
CHGFRNA000101,2,3,1,3,0,2,388,350,90,78,48,31
CHGFRNA000103,0,2,0,0,0,0,444,379,82,47,32,14
CHGFRNA000104,0,0,0,0,0,0,36,32,10,7,10,10
CHGFRNA000106,0,0,0,2,1,0,260,202,48,21,8,11
CHGFRNA000108,0,0,0,0,0,0,71,93,75,21,28,24
CHGFRNA000110,0,0,0,0,0,0,48,77,77,70,41,34
RCHGF000001,5,1,0,0,0,4,1314,1217,1075,1188,1231,890
RCHGF000002,4,5,3,4,0,1,1613,1596,1675,1388,1513,1089
RCHGF000003,2,3,1,1,4,2,2521,2550,2445,1806,2633,2198
RCHGF000004,7,6,6,5,10,1,2234,1815,2608,1531,2141,1694
RCHGF000005,6,1,0,4,1,3,1411,1352,900,540,690,619
RCHGF000006,3,11,3,0,0,1,954,1058,879,631,809,707
RCHGF000007,3,0,4,1,0,2,1717,1674,1172,906,1093,854
RCHGF000008,5,1,2,4,0,0,546,576,479,299,408,338
RCHGF000009,2,2,1,1,0,0,739,657,346,418,412,341
RCHGF000010,3,1,0,0,0,0,498,429,594,220,187,113
RCHGF000011,3,3,1,0,1,0,439,398,363,239,326,281
RCHGF000012,10,7,4,3,2,10,2145,2129,1414,1077,1289,1041
RCHGF000013,0,0,0,0,0,0,95,99,117,28,66,51
RCHGF000014,0,0,2,0,0,0,262,254,177,57,69,74
RCHGF000015,1,2,8,0,0,0,101,115,58,33,10,10
RCHGF000016,0,3,1,0,0,0,201,172,79,45,40,42
RCHGF000017,0,1,0,0,4,2,294,308,144,89,73,64
RCHGF000018,0,0,0,0,0,0,33,33,25,19,8,5
RCHGF000020,0,2,2,0,0,0,307,346,222,102,92,94
RCHGF000021,0,1,0,0,2,0,77,95,106,132,130,92
RCHGF000022,16,13,13,2,1,2,3372,3358,3064,8909,10163,8697
RCHGF000023,4,12,3,2,1,3,3507,3717,2600,2562,3463,3090
RCHGF000024,23,9,12,3,0,2,4523,5184,2825,4426,5333,4567
RCHGF000025,24,38,28,15,4,4,7639,8347,5604,7720,9843,8361
RCHGF000026,2,7,0,10,0,0,176,176,134,245,265,208
RCHGF000027,3,0,1,0,1,1,233,190,152,134,108,92
RCHGF000028,0,0,2,1,0,0,407,401,265,280,274,241
RCHGF000029,35,22,14,8,11,14,4189,3871,3645,3414,3872,3232
RCHGF000030,5,16,2,8,6,2,3071,2756,7771,3727,4586,3277
RCHGF000031,12,11,8,4,3,1,3733,3922,2955,3960,4599,3884
RCHGF000032,0,0,0,0,0,0,107,105,54,44,64,50
RCHGF000033,5,4,5,7,0,7,890,863,852,653,741,565
RCHGF000034,29,40,32,11,11,12,11160,12205,7538,29307,35524,27467
RCHGF000035,0,4,5,0,1,1,128,198,105,99,64,74
