Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
RCHGF000012	3.2.1.86:12|3.2.1.38:3|3.2.1.85:3|3.2.1.21:1|3.2.1.-:1	GH1(7-480)	GH1_e115	GH1	N	3
RCHGF000031	-|3.2.1.41:15|3.2.1.41:3	GH13_14(259-573)	CBM68_e1+CBM48_e46+GH13_e94	CBM48+GH13_14	N	3
RCHGF000034	2.4.1.1:158	GT35(96-799)	GT35_e0	GT35	N	3
RCHGF000036	-	GT2(4-145)	GT2	GT2	N	3
RCHGF000042	-	GT2(8-174)	GT2	GT2	N	3
RCHGF000043	-	GT2(8-168)	GT2	GT2	N	3
RCHGF000047	-	-	-	GH25	N	1
RCHGF000050	-|2.4.1.18:14	CBM48(21-104)+GH13_9(172-459)	CBM48_e87+GH13_e200	CBM48+GH13_9	N	3
RCHGF000051	-	-	-	GT2	N	1
RCHGF000103	-	GH25(106-296)	GH25_e67	GH25	N	3
RCHGF000130	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	GH1(5-486)	GH1_e85	GH1	N	3
RCHGF000235	-	GT51(263-457)	GT51_e83	GT51	N	3
RCHGF000237	-	GT51(73-270)	GT51_e83	GT51	N	3
RCHGF000248	-	-	-	GT2	N	1
RCHGF000308	-	-	-	GH28	N	1
RCHGF000313	-	-	-	GH13	N	1
RCHGF000372	-	-	-	GT4	N	1
RCHGF000395	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	GH1(4-470)	GH1_e85	GH1	N	3
RCHGF000491	-	GH38(5-277)	GH38_e41	GH38	N	3
RCHGF000515	-	-	-	GH13_31	N	1
RCHGF000517	-	-	-	GH13_23	N	1
RCHGF000556	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	GH1(6-477)	GH1_e85	GH1	N	3
RCHGF000569	-	-	GT2	GT2	N	2
RCHGF000576	3.2.1.93:2	GH13_29(25-368)	GH13_e1	GH13_29	N	3
RCHGF000578	-	-	-	GH13_29	N	1
RCHGF000582	-	CE4(44-150)	CE4_e196	CE4	N	3
RCHGF000598	-	GT2(4-126)	GT2	GT2	N	3
RCHGF000605	-	-	-	GT2	N	1
RCHGF000606	-	-	-	GT2	N	1
RCHGF000610	-	GT2(6-160)	GT2	GT2	N	3
RCHGF000611	-	GT2(7-111)	GT2	GT2	N	3
RCHGF000612	-	GT4(206-350)	GT4_e3889	GT4	N	3
