"","bacteria_name","Gene.ID","EC.","HMMER","dbCAN_sub","DIAMOND","Signalp","Hits_number","AnotacionGH"
"1","Ba_Probio_M8","FELJDP_00215","3.2.1.21:22|3.2.1.-:4|3.2.1.37:1|3.2.1.55:1|3.2.1.23:1|3.2.1.45:1","GH3(41-251)","GH3_e197","GH3","N",3,"GH3"
"2","Ba_Probio_M8","FELJDP_00240","-","GH30_1(39-504)","GH30_e2","GH30_1","N",3,"GH30"
"3","Ba_Probio_M8","FELJDP_00245","3.2.1.-:1","GH42(15-382)","GH42_e0","GH42","N",3,"GH42"
"4","Ba_Probio_M8","FELJDP_00300","3.2.1.55:37","GH51(8-512)","GH51_e0","GH51","N",3,"GH51"
"5","Ba_Probio_M8","FELJDP_00665","2.4.1.7:2","GH13_18(35-379)","GH13_e144","GH13_18","N",3,"GH13"
"6","Ba_Probio_M8","FELJDP_00730","3.2.1.21:71|3.2.1.-:11|3.2.1.38:3|3.2.1.23:2|3.2.1.74:1","GH1(2-457)","GH1_e113","GH1","N",3,"GH1"
"7","Ba_Probio_M8","FELJDP_01330","3.2.1.23:6|3.2.1.31:2","GH2(35-1024)","GH2_e104","GH2","N",3,"GH2"
"8","Ba_Probio_M8","FELJDP_01855","2.4.1.25:4","GH77(190-697)","GH77_e2","GH77","N",3,"GH77"
"9","Ba_Probio_M8","FELJDP_01870","3.2.1.68:15|3.2.1.-:1","GH13_11(231-597)","GH13_e48","CBM48+GH13_11","N",3,"GH13"
"10","Ba_Probio_M8","FELJDP_02385","3.2.1.23:35","GH2(60-950)","GH2_e1","GH2","N",3,"GH2"
"11","Ba_Probio_M8","FELJDP_02420","3.2.1.23:18","GH42(28-400)","GH42_e28","GH42","N",3,"GH42"
"12","Ba_Probio_M8","FELJDP_02560","3.2.1.55:1","GH43_12(11-366)","GH43_e260","GH43_12","N",3,"GH43"
"13","Ba_Probio_M8","FELJDP_02585","3.2.1.37:21|3.2.1.55:3|3.2.1.-:1|-","GH43_11(3-304)+CBM91(332-539)","GH43_e285+CBM91_e24","GH43_11","N",3,"GH43"
"14","Ba_Probio_M8","FELJDP_02600","3.2.1.55:2|-","GH43_10(5-273)+CBM91(317-513)","GH43_e2+CBM91_e2","GH43_10","N",3,"GH43"
"15","Ba_Probio_M8","FELJDP_04605","3.2.1.1:5|3.2.1.116:1","GH13_32(7-115)","GH13_e240","GH13","N",3,"GH13"
"16","Ba_Probio_M8","FELJDP_04610","-","GH13_32(2-175)","GH13_e26","GH13","N",3,"GH13"
"17","Ba_Probio_M8","FELJDP_04745","3.2.1.1:3","GH13_5(37-374)","GH13_e25","GH13_5","N",3,"GH13"
"18","Ba_Probio_M8","FELJDP_04870","3.2.1.68:75|2.4.1.25:4|3.2.1.-:1|3.2.1.68:15|3.2.1.-:1","CBM48(3-92)+GH13_11(172-525)","CBM48_e3+GH13_e48","CBM48+GH13_11","N",3,"GH13"
"19","Ba_Probio_M8","FELJDP_04965","2.4.1.18:57|2.4.1.18:14","GH13_9(332-632)","CBM48_e2+GH13_e200","CBM48+GH13_9","N",3,"GH13"
"20","Ba_Probio_M8","FELJDP_05120","-","GH3(159-389)","GH3_e11","GH3","N",3,"GH3"
"21","Ba_Probio_M8","FELJDP_05660","3.2.1.20:2","GH13_30(33-401)","GH13_e234","GH13_30","N",3,"GH13"
"22","Ba_Probio_M8","FELJDP_06250","3.2.1.26:6","GH32(57-367)","GH32_e28","GH32","N",3,"GH32"
"23","Ba_Probio_M8","FELJDP_07135","-","GH30(35-483)","GH30_e52","GH30","N",3,"GH30"
