id,Category,Locus,Gene Name,Aliases,Assigned Function,deseq2_log2_FC,Avg. Expression,lfc SE,wald stat,p-value,deseq2_q_value,ERGO.Function,GenBank.Function,strand,length.nt.,length.aa.,GRAVY,Molecular.Weight,Iso.electric.Point,gene.name,Kegg.Orthology,COG_Category_description,KEGG_Pathway_names,eggnog_COG_category,eggnog_seed_ortholog,eggnog_evalue,eggnog_score,eggnog_Description,eggnog_Preferred_name,eggnog_GOs,eggnog_EC,eggnog_KEGG_ko,eggnog_KEGG_Pathway,eggnog_KEGG_Module,eggnog_KEGG_Reaction,eggnog_KEGG_rclass,eggnog_BRITE,eggnog_KEGG_TC,eggnog_CAZy,eggnog_BiGG_Reaction,eggnog_PFAMs,TransAAP_Transporter_Family,TransAAP_Subfamily,TransAAP_Substrate_Function
CHGFRNA000036,Uncategorized;Uncategorized;Uncategorized;Uncategorized;Uncategorized;Uncategorized;,AENW01000037,null,HMPREF9406_3787,NA,3.47,18.9,1.02,3.4,6.82e-4,0.00614,NA,tRNA-Lys,positive,76,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000047,Uncategorized;Uncategorized;Uncategorized;Uncategorized;Uncategorized;Uncategorized;,AENW01000034,null,HMPREF9406_2078,NA,4.15,10.7,1.22,3.4,6.85e-4,0.00616,NA,tRNA-Arg,negative,77,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000061,Uncategorized;Uncategorized;Uncategorized;Uncategorized;Uncategorized;Uncategorized;,AENW01000022,rrl,"rrl, HMPREF9406_3737",NA,1.38,1130000,0.136,10.1,3.9299999999999995e-24,6.69e-22,NA,23S ribosomal RNA,negative,2909,NA,NA,NA,NA,rrl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000062,Uncategorized;Uncategorized;Uncategorized;Uncategorized;Uncategorized;Uncategorized;,AENW01000022,rrs,"rrs, HMPREF9406_3738",NA,3.58,121000,0.578,6.19,5.98e-10,2e-8,NA,16S ribosomal RNA,negative,1499,NA,NA,NA,NA,rrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000088,Uncategorized;Uncategorized;Uncategorized;Uncategorized;Uncategorized;Uncategorized;,AENW01000009,null,HMPREF9406_1363,NA,2.81,34.3,0.926,3.03,0.00243,0.0176,NA,tRNA-Tyr,negative,84,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000095,Uncategorized;Uncategorized;Uncategorized;Uncategorized;Uncategorized;Uncategorized;,AENW01000007,null,HMPREF9406_0260,NA,5.16,16.2,1.16,4.44,9.16e-6,1.4e-4,NA,tRNA-Gly,negative,74,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCHGF000017,Uncategorized;,AENW01000060,null,"HMPREF9406_0427, EFR35531.1","PTS system, mannose-specific IID component (EC 2.7.1.69)",3.91,38.5,0.668,5.85,4.95e-9,1.42e-7,"PTS system, mannose-specific IID component (EC 2.7.1.69)",PTS system mannose/fructose/sorbose family IID component,positive,849,283,0.479505300353357,31485.9334,6.96527099609375,None,"K02796 - PTS-Man-EIID, manZ - PTS system, mannose-specific IID component",(G) Carbohydrate metabolism and transport,-,G,658659.HMPREF0983_03111,3.4199999999999994e-197,547,PTS system mannose/fructose/sorbose family IID component,-,-,-,-,-,-,-,-,-,-,-,-,EIID-AGA,SSPTS,EnzymeIID,mannose/fructose
RCHGF000022,metabolic process;cellular process;detoxification;,AENW01000059,trxB,"trxB, HMPREF9406_3839, EFR35556.1",Thioredoxin reductase (EC 1.8.1.9),-4.02,491,0.848,-4.74,2.13e-6,3.92e-5,Thioredoxin reductase (EC 1.8.1.9),thioredoxin-disulfide reductase (EC 1.8.1.9),negative,918,306,-0.025163398692811,33000.3603,5.28778076171875,trxB,"K00384 - trxB, TRR - thioredoxin reductase (NADPH) [EC:1.8.1.9] [1.8.1.9]",(C) Energy production and conversion,Selenocompound metabolism,C,908340.HMPREF9406_3839,1.5999999999999998e-218,603,Thioredoxin reductase,trxB,-,1.8.1.9,ko:K00384,"ko00450,map00450",-,"R02016,R03596,R09372","RC00013,RC02518,RC02873","ko00000,ko00001,ko01000",-,-,-,Pyr_redox_2,NA,NA,NA
RCHGF000023,Uncategorized;,AENW01000059,lgt,"lgt, HMPREF9406_3840, EFR35563.1",NA,-1.99,244,0.731,-2.73,0.00642,0.0382,NA,prolipoprotein diacylglyceryl transferase (EC 2.4.99.-),negative,1470,490,0.10469387755102,56520.0592,5.93975830078125,lgt,"K13292 - lgt, umpA - phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145] [2.5.1.145]",(M) Cell wall/membrane/envelop biogenesis,-,M,908340.HMPREF9406_3840,0,1001,Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins,lgt,-,-,ko:K13292,-,-,-,-,"ko00000,ko01000",-,-,-,LGT,NA,NA,NA
RCHGF000024,Uncategorized;,AENW01000059,hprK,"hprK, HMPREF9406_3841, EFR35616.1",HPR(SER) KINASE (EC 2.7.1.-) / PHOSPHATASE (EC 3.1.3.-),-3.65,352,1.04,-3.49,4.79e-4,0.00451,HPR(SER) KINASE (EC 2.7.1.-) / PHOSPHATASE (EC 3.1.3.-),HPr(Ser) kinase/phosphatase (EC 2.7.1.-),negative,948,316,-0.146518987341772,35729.0112,6.44781494140625,hprK,"K06023 - hprK, ptsK - HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-] [2.7.4.- 2.7.11.-]",(F) Nucleotide metabolism and transport,-,F,908340.HMPREF9406_3841,2.7799999999999993e-224,618,"Catalyzes the ATP- as well as the pyrophosphate- dependent phosphorylation of a specific serine residue in HPr, a phosphocarrier protein of the phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS). HprK P also catalyzes the pyrophosphate-producing, inorganic phosphate-dependent dephosphorylation (phosphorolysis) of seryl-phosphorylated HPr (P- Ser-HPr). The two antagonistic activities of HprK P are regulated by several intracellular metabolites, which change their concentration in response to the absence or presence of rapidly metabolisable carbon sources (glucose, fructose, etc.) in the growth medium. Therefore, by controlling the phosphorylation state of HPr, HPrK P is a sensor enzyme that plays a major role in the regulation of carbon metabolism and sugar transport it mediates carbon catabolite repression (CCR), and regulates PTS-catalyzed carbohydrate uptake and inducer exclusion",hprK,-,-,ko:K06023,-,-,-,-,"ko00000,ko01000",-,-,-,"Hpr_kinase_C,Hpr_kinase_N",NA,NA,NA
RCHGF000025,metabolic process;cellular process;response to stimulus;,AENW01000059,uvrA,"uvrA, HMPREF9406_3842, EFR35630.1",Excinuclease ABC subunit A,-2.5,650,0.519,-4.82,1.41e-6,2.68e-5,Excinuclease ABC subunit A,"excinuclease ABC, A subunit (EC 3.1.25.-)",negative,2820,940,-0.38691489361702,104970.900400001,8.39337158203125,uvrA,K03701 - uvrA - excinuclease ABC subunit A,(L) Replication and repair,Nucleotide excision repair,L,908340.HMPREF9406_3842,0,1862,"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate",uvrA,-,-,ko:K03701,"ko03420,map03420",-,-,-,"ko00000,ko00001,ko03400",-,-,-,ABC_tran,NA,NA,NA
