"Name","P Value","Q Value","Set Size","Stat Mean"
"Carbohydrate_metabolism","5.779438578683034e-31","8.49577471066406e-29","377","6.763529779163215"
"Carbohydrate_assimilation","1.3653706931313198e-20","1.00354745945152e-18","189","5.44603110439181"
"Carbohydrate_central_metabolism","1.2103532931228037e-9","5.930731136301738e-8","85","3.530023992041345"
"Glycolysis_and_fermentation_pathways","4.620855904369368e-9","1.6981645448557429e-7","44","3.4507804257186514"
"Nucleotide_metabolism","2.331385060884074e-8","6.854272078999177e-7","135","3.2010528510282863"
"Assimilation_of_oligosaccharides_and_disaccharides","8.956876894438626e-7","0.000019520447090635008","53","2.821174770978365"
"Polysaccharide_degradation","9.29545099554048e-7","0.000019520447090635008","72","2.799847029764568"
"Pyrimidine_salvage_pathways","0.0000018083027591503243","0.00003322756319938721","23","2.8529554601060227"
"Glycolysis_versions_and_bypasses","0.000008478199946431166","0.00013847726579170903","24","2.6300793194830896"
"Lactose,_allolactose_and_beta-galactoside_degradation","0.000030569208310895834","0.00044936736217016874","23","2.4098400546963523"
"Alcohol_and_aldehyde_degradation","0.00009375826556193935","0.0012529513670550077","13","2.331677036692715"
"Carbohydrate_biosynthesis","0.00018312056923326303","0.0022212805367657906","91","2.0875781178551494"
"D-arabinose_and_D-ribose_degradation","0.00019643977536023998","0.0022212805367657906","12","2.243869897144027"
"Secretion","0.00044588834220058853","0.004681827593106179","49","1.9447932397338026"
"Bacterial_Protein_Metabolism","0.0015970282670451472","0.015212164843573427","227","1.7097723348154097"
"Thiamine_biosynthesis","0.0016557458333141145","0.015212164843573427","12","1.8267258318622557"
"Bacterial_Protein_Fate","0.0017847268714653352","0.015315288906509635","95","1.700360473264209"
"TAT_pathway","0.0020218706659697857","0.015315288906509635","19","1.7087347885308644"
"TAT_pathway_secreted_proteins","0.0020218706659697857","0.015315288906509635","19","1.7087347885308644"
"Purine_salvage_pathways","0.0020837127763958688","0.015315288906509635","33","1.6825815768547252"
"Bacterial_Endopeptidases","0.0027406845543582387","0.01918479188050767","27","1.6394270110278175"
"Stress","0.0029955699545584713","0.02001585378727706","23","1.6229724486382144"
"One-carbon_metabolism","0.0036538829813749334","0.023353078185309357","20","1.6027981213210025"
"Lactose_and_galactose_metabolism_in_lactobacteria","0.004200055883492002","0.025725342286388512","10","1.6036559894331792"
"Gluconeogenesis","0.004943439303069728","0.029067423102050002","29","1.5266601462880953"
"CO2_fixation_pathways","0.007091304878810062","0.03865216838716353","26","1.4568413261489581"
"Sec-Dependent_Secretion_Stages","0.007099377867030036","0.03865216838716353","16","1.456996919558748"
"Signal_Peptide_Release","0.008540770074776629","0.0448390428925773","11","1.4353575797030895"
"Extracellular_and_periplasmic_carbohydrate_degradation","0.011491634299551133","0.05825069800117298","12","1.3788165285673335"
"ABC_transporter_for_unknown_substrate","0.013841839412190604","0.06723956613731122","40","1.2907039221007681"
"Bioenergetics","0.014179772450725494","0.06723956613731122","153","1.2748419925157046"
"Purine_biosynthesis","0.015452309801423671","0.07098404815029","41","1.2655842715746852"
