id,Category,Locus,Gene Name,Aliases,Assigned Function,deseq2_log2_FC,Avg. Expression,lfc SE,wald stat,p-value,deseq2_q_value,ERGO_Function,GenBank_Function,strand,length_nt,length_aa,GRAVY,Molecular_Weight,Iso_electric_Point,gene_name,Kegg_Orthology,COG_Category_description,KEGG_Pathway_names,COG_category_eggnog,seed_ortholog_eggnog,evalue_eggnog,score_eggnog,Description_eggnog,Preferred_name_eggnog,GOs_eggnog,EC_eggnog,KEGG_ko_eggnog,KEGG_Pathway_eggnog,KEGG_Module_eggnog,KEGG_Reaction_eggnog,KEGG_rclass_eggnog,BRITE_eggnog,KEGG_TC_eggnog,CAZy_eggnog,BiGG_Reaction_eggnog,PFAMs_eggnog,TransAAP_Transporter_Family,TransAAP_Subfamily,TransAAP_Substrate_Function
RVCYZ000005,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000132, extdb:pgaptmp_000132",Hypothetical protein,1.13,54.7,0.262,4.33,1.52e-5,2.7e-5,Hypothetical protein,hypothetical protein,positive,177,59,-0.342372881355932,7014.9587,6.55438232421875,None,NA,NA,-,-,552531.BIF_02016,2.65e-32,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA
RVCYZ000008,Uncategorized;,NODE_1_length_388644_cov_35.133645,thrS,"thrS, pgaptmp_000136, extdb:pgaptmp_000136",Threonyl-tRNA synthetase (EC 6.1.1.3),-1.17,7430,0.104,-11.2,5.37e-29,4.32e-28,Threonyl-tRNA synthetase (EC 6.1.1.3),threonine--tRNA ligase (EC 6.1.1.3),positive,2076,692,-0.517341040462426,78613.5157000003,5.11639404296875,thrS,"K01868 - TARS, thrS - threonyl-tRNA synthetase [EC:6.1.1.3] [6.1.1.3]",(J) Translation,Aminoacyl-tRNA biosynthesis,J,552531.BIF_00522,0,1392,Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr),thrS,"GO:0003674,GO:0003824,GO:0004812,GO:0004829,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006435,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0040007,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576",6.1.1.3,ko:K01868,"ko00970,map00970","M00359,M00360",R03663,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",-,-,-,"HGTP_anticodon,tRNA-synt_2b,tRNA_SAD",NA,NA,NA
RVCYZ000012,metabolic process;cellular process;response to stimulus;biological regulation;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000140, extdb:pgaptmp_000140",Hypothetical cytosolic protein,-1.87,4890,0.136,-13.8,3.9199999999999994e-43,7.01e-42,Hypothetical cytosolic protein,YebC/PmpR family DNA-binding transcriptional regulator,positive,753,251,-0.402788844621514,26768.3681,4.57696533203125,None,"K01750 - E4.3.1.12, ocd - ornithine cyclodeaminase [EC:4.3.1.12] [4.3.1.12]",(K) Transcription,-,K,552531.BIF_00561,6.09e-175,488,transcriptional regulatory protein,yebC,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464",-,-,-,-,-,-,-,-,-,-,Transcrip_reg,NA,NA,NA
RVCYZ000016,Uncategorized;,NODE_1_length_388644_cov_35.133645,yajC,"yajC, pgaptmp_000144, extdb:pgaptmp_000144",Protein translocase subunit YajC,-1.19,1680,0.127,-9.39,6.15e-21,3.4e-20,Protein translocase subunit YajC,preprotein translocase subunit YajC,positive,438,146,-0.382876712328767,16200.8884,4.19012451171875,yajC,K03210 - yajC - preprotein translocase subunit YajC,(U) Intracellular trafficing and secretion,Quorum sensing; Protein export; Bacterial secretion system,U,552531.BIF_01832,1.9e-72,221,Preprotein translocase subunit,yajC,-,-,ko:K03210,"ko02024,ko03060,ko03070,map02024,map03060,map03070",M00335,-,-,"ko00000,ko00001,ko00002,ko02044","3.A.5.1,3.A.5.2",-,-,YajC,NA,NA,NA
RVCYZ000019,metabolic process;cellular process;,NODE_1_length_388644_cov_35.133645,sucD,"sucD, pgaptmp_000147, extdb:pgaptmp_000147",Succinyl-CoA synthetase alpha chain (EC 6.2.1.5),-1.33,2750,0.0945,-14.1,5.34e-45,1.0499999999999998e-43,Succinyl-CoA synthetase alpha chain (EC 6.2.1.5),succinate--CoA ligase subunit alpha (EC 6.2.1.5),positive,915,305,0.201639344262295,31330.4937,4.86798095703125,sucD,K01902 - sucD - succinyl-CoA synthetase alpha subunit [EC:6.2.1.5] [6.2.1.5],(C) Energy production and conversion,Citrate cycle (TCA cycle); Propanoate metabolism; C5-Branched dibasic acid metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; NA; Carbon metabolism,C,552531.BIF_01073,1.85e-212,587,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit",sucD,"GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044424,GO:0044444,GO:0044464,GO:0071944",6.2.1.5,ko:K01902,"ko00020,ko00640,ko00660,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00640,map00660,map00720,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00173,M00374,M00620","R00405,R02404","RC00004,RC00014","ko00000,ko00001,ko00002,ko01000",-,-,-,"CoA_binding,Ligase_CoA",NA,NA,NA
RVCYZ000023,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000151, extdb:pgaptmp_000151",Aquaporin,-2.32,12000,0.135,-17.2,1.25e-66,7.730000000000001e-65,Aquaporin,aquaporin,negative,1020,340,0.456176470588236,35788.4316000001,4.30999755859375,None,K06188 - aqpZ - aquaporin Z,(U) Intracellular trafficing and secretion,-,U,552531.BIF_00659,3.45e-221,612,Belongs to the MIP aquaporin (TC 1.A.8) family,-,-,-,ko:K06188,-,-,-,-,"ko00000,ko02000",1.A.8,-,-,MIP,MIP,NA,glycerol uptake
RVCYZ000028,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000157, extdb:pgaptmp_000157",Hypothetical protein,-1.11,1050,0.142,-7.81,5.81e-15,2.28e-14,Hypothetical protein,hypothetical protein,positive,315,105,-0.194285714285714,12251.1168,10.3251342773438,None,NA,NA,-,-,552531.BIF_01921,2.3499999999999997e-67,204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA
RVCYZ000036,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000165, extdb:pgaptmp_000165",Hypothetical signal transduction protein,-1.53,1220,0.134,-11.4,4.91e-30,4.1200000000000003e-29,Hypothetical signal transduction protein,FHA domain-containing protein,negative,438,146,-0.256164383561644,15980.8047,4.96295166015625,None,K01601 - rbcL - ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] [4.1.1.39],(T) Signal Transduction,-,T,552531.BIF_00986,2.66e-97,283,"Inner membrane component of T3SS, cytoplasmic domain",garA,"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0005886,GO:0006109,GO:0006110,GO:0006140,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009889,GO:0009890,GO:0009892,GO:0009894,GO:0009895,GO:0009987,GO:0010563,GO:0010675,GO:0010677,GO:0016020,GO:0016310,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0030312,GO:0030808,GO:0030809,GO:0030811,GO:0030812,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031329,GO:0031330,GO:0036211,GO:0042325,GO:0042326,GO:0042802,GO:0043170,GO:0043412,GO:0043457,GO:0043467,GO:0043470,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0045820,GO:0045912,GO:0045934,GO:0045936,GO:0045980,GO:0046777,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051174,GO:0051193,GO:0051195,GO:0051196,GO:0051198,GO:0062012,GO:0062014,GO:0065007,GO:0071704,GO:0071944,GO:0080090,GO:1900371,GO:1900372,GO:1900542,GO:1900543,GO:1901564,GO:1903578,GO:1903579,GO:2001169,GO:2001170",-,-,-,-,-,-,-,-,-,-,"FHA,Yop-YscD_cpl,zinc_ribbon_2",NA,NA,NA
RVCYZ000042,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000171, extdb:pgaptmp_000171",Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31),-1.08,677,0.0982,-11,6.43e-28,5e-27,Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31),phosphoribosyl-ATP diphosphatase (EC 3.6.1.31),negative,261,87,-0.280459770114942,9767.96199999999,4.58282470703125,None,K01523 - hisE - phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31] [3.6.1.31],(E) Amino Acid metabolis and transport,Histidine metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids,E,552531.BIF_02246,3.1799999999999992e-55,172,Phosphoribosyl-ATP pyrophosphohydrolase,hisE,"GO:0000287,GO:0003674,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0008150,GO:0009605,GO:0009607,GO:0030312,GO:0040007,GO:0043167,GO:0043169,GO:0043207,GO:0044403,GO:0044419,GO:0044464,GO:0046872,GO:0050896,GO:0051701,GO:0051704,GO:0051707,GO:0071944,GO:0075136,GO:0075139",3.6.1.31,ko:K01523,"ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230",M00026,R04035,RC00002,"ko00000,ko00001,ko00002,ko01000",-,-,-,PRA-PH,NA,NA,NA
RVCYZ000047,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000176, extdb:pgaptmp_000176",Hypothetical protein,-2.79,5730,0.202,-13.8,1.5199999999999998e-43,2.7799999999999996e-42,Hypothetical protein,hypothetical protein,positive,303,101,-1.46633663366337,11547.5803,5.01214599609375,None,NA,NA,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
