id,Category,Locus,Gene Name,Aliases,Assigned Function,deseq2_log2_FC,Avg. Expression,lfc SE,wald stat,p-value,deseq2_q_value,ERGO.Function,GenBank.Function,strand,length.nt.,length.aa.,GRAVY,Molecular.Weight,Iso.electric.Point,gene.name,Kegg.Orthology,COG_Category_description,KEGG_Pathway_names,eggnog_COG_category,eggnog_seed_ortholog,eggnog_evalue,eggnog_score,eggnog_Description,eggnog_Preferred_name,eggnog_GOs,eggnog_EC,eggnog_KEGG_ko,eggnog_KEGG_Pathway,eggnog_KEGG_Module,eggnog_KEGG_Reaction,eggnog_KEGG_rclass,eggnog_BRITE,eggnog_KEGG_TC,eggnog_CAZy,eggnog_BiGG_Reaction,eggnog_PFAMs,TransAAP_Transporter_Family,TransAAP_Subfamily,TransAAP_Substrate_Function
CHGFRNA000043,Uncategorized;Uncategorized;Uncategorized;Uncategorized;Uncategorized;,AENW01000034,null,HMPREF9406_2074,NA,2.06,16.9,0.744,2.77,0.00566,0.0229,NA,tRNA-Ser,negative,91,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000046,Uncategorized;Uncategorized;Uncategorized;Uncategorized;Uncategorized;,AENW01000034,null,HMPREF9406_2077,NA,4.84,18.7,0.87,5.56,2.71e-8,5.97e-7,NA,tRNA-Pro,negative,77,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000061,Uncategorized;Uncategorized;Uncategorized;Uncategorized;Uncategorized;,AENW01000022,rrl,"rrl, HMPREF9406_3737",NA,2.05,1130000,0.136,15.1,2.94e-51,1.15e-47,NA,23S ribosomal RNA,negative,2909,NA,NA,NA,NA,rrl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000062,Uncategorized;Uncategorized;Uncategorized;Uncategorized;Uncategorized;,AENW01000022,rrs,"rrs, HMPREF9406_3738",NA,5.46,121000,0.577,9.45,3.2700000000000004e-21,8.54e-19,NA,16S ribosomal RNA,negative,1499,NA,NA,NA,NA,rrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000095,Uncategorized;Uncategorized;Uncategorized;Uncategorized;Uncategorized;,AENW01000007,null,HMPREF9406_0260,NA,3.12,16.2,0.975,3.2,0.00135,0.00688,NA,tRNA-Gly,negative,74,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCHGF000003,Uncategorized;,AENW01000060,soj,"soj, HMPREF9406_0413, EFR35536.1",Chromosome partitioning protein parA,-2.44,185,0.674,-3.62,2.98e-4,0.00194,Chromosome partitioning protein parA,sporulation initiation inhibitor protein Soj,positive,780,260,-0.066538461538462,28718.0063,6.64031982421875,soj,"K03496 - parA, soj - chromosome partitioning protein",(D) Cell cycle control and mitosis,-,D,908340.HMPREF9406_0413,2.67e-178,497,sporulation initiation inhibitor protein Soj,soj,-,-,ko:K03496,-,-,-,-,"ko00000,ko03036,ko04812",-,-,-,AAA_31,NA,NA,NA
RCHGF000007,metabolic process;cellular process;,AENW01000060,nadC,"nadC, HMPREF9406_0417, EFR35526.1",Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19),-2.42,90.7,0.842,-2.88,0.004,0.0173,Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19),nicotinate-nucleotide diphosphorylase (carboxylating) (EC 2.4.2.19),positive,855,285,-0.147368421052632,31340.6662,5.05120849609375,nadC,"K00767 - nadC, QPRT - nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19] [2.4.2.19]",(H) Coenzyme metabolis,Nicotinate and nicotinamide metabolism; Metabolic pathways,H,908340.HMPREF9406_0417,6.7e-205,566,Belongs to the NadC ModD family,nadC,-,2.4.2.19,ko:K00767,"ko00760,ko01100,map00760,map01100",M00115,R03348,RC02877,"ko00000,ko00001,ko00002,ko01000",-,-,iHN637.CLJU_RS12010,"QRPTase_C,QRPTase_N",NA,NA,NA
RCHGF000023,Uncategorized;,AENW01000059,lgt,"lgt, HMPREF9406_3840, EFR35563.1",NA,-1.12,244,0.381,-2.95,0.0032,0.0144,NA,prolipoprotein diacylglyceryl transferase (EC 2.4.99.-),negative,1470,490,0.10469387755102,56520.0592,5.93975830078125,lgt,"K13292 - lgt, umpA - phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145] [2.5.1.145]",(M) Cell wall/membrane/envelop biogenesis,-,M,908340.HMPREF9406_3840,0,1001,Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins,lgt,-,-,ko:K13292,-,-,-,-,"ko00000,ko01000",-,-,-,LGT,NA,NA,NA
RCHGF000026,Uncategorized;,AENW01000059,null,"HMPREF9406_3843, EFR35593.1",NA,2.38,27.8,0.515,4.62,3.79e-6,4.2e-5,NA,hypothetical protein,positive,528,176,-0.90625,18538.9101,7.23590087890625,None,NA,NA,-,-,908340.HMPREF9406_3843,1.1e-76,233,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA
RCHGF000037,Uncategorized;,AENW01000059,gtcA,"gtcA, HMPREF9406_3854, EFR35604.1",Cell wall teichoic acid glycosylation protein gtcA,-1.96,109,0.677,-2.89,0.00384,0.0167,Cell wall teichoic acid glycosylation protein gtcA,cell wall teichoic acid glycosylation protein GtcA,negative,399,133,0.757142857142857,15300.1009,8.77484130859375,gtcA,NA,(S) Function Unknown,-,S,908340.HMPREF9406_3854,3.77e-84,249,GtrA-like protein,-,-,-,-,-,-,-,-,-,-,-,-,GtrA,NA,NA,NA
