id,Category,Locus,Gene Name,Aliases,Assigned Function,deseq2_log2_FC,Avg. Expression,lfc SE,wald stat,p-value,deseq2_q_value,ERGO.Function,GenBank.Function,strand,length.nt.,length.aa.,GRAVY,Molecular.Weight,Iso.electric.Point,gene.name,Kegg.Orthology,COG_Category_description,KEGG_Pathway_names,eggnog_COG_category,eggnog_seed_ortholog,eggnog_evalue,eggnog_score,eggnog_Description,eggnog_Preferred_name,eggnog_GOs,eggnog_EC,eggnog_KEGG_ko,eggnog_KEGG_Pathway,eggnog_KEGG_Module,eggnog_KEGG_Reaction,eggnog_KEGG_rclass,eggnog_BRITE,eggnog_KEGG_TC,eggnog_CAZy,eggnog_BiGG_Reaction,eggnog_PFAMs,TransAAP_Transporter_Family,TransAAP_Subfamily,TransAAP_Substrate_Function
CHGFRNA000005,Uncategorized;Uncategorized;Uncategorized;,AENW01000056,null,HMPREF9406_3237,NA,-1.53,1.25,0.627,-2.44,0.0147,0.0338,NA,tRNA-Pro,negative,77,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000010,Uncategorized;Uncategorized;Uncategorized;,AENW01000053,null,HMPREF9406_2635,NA,-1.51,11.2,0.427,-3.53,4.1e-4,0.00145,NA,tRNA-Leu,negative,86,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000011,Uncategorized;Uncategorized;Uncategorized;,AENW01000053,null,HMPREF9406_2636,NA,-1.51,11.2,0.427,-3.53,4.1e-4,0.00145,NA,tRNA-Leu,negative,86,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000014,Uncategorized;Uncategorized;Uncategorized;,AENW01000053,null,HMPREF9406_2727,NA,1.66,3.08,0.632,2.63,0.00866,0.0215,NA,tRNA-Ile,negative,77,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000015,Uncategorized;Uncategorized;Uncategorized;,AENW01000053,null,HMPREF9406_2730,NA,-1.61,13.8,0.479,-3.36,7.8e-4,0.00259,NA,tRNA-Ala,negative,76,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000016,Uncategorized;Uncategorized;Uncategorized;,AENW01000053,null,HMPREF9406_2731,NA,1.66,3.08,0.632,2.63,0.00866,0.0215,NA,tRNA-Ile,negative,77,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000044,Uncategorized;Uncategorized;Uncategorized;,AENW01000034,null,HMPREF9406_2075,NA,2.13,8.81,0.475,4.48,7.52e-6,3.81e-5,NA,tRNA-Met,negative,77,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000046,Uncategorized;Uncategorized;Uncategorized;,AENW01000034,null,HMPREF9406_2077,NA,1.51,18.7,0.666,2.27,0.0232,0.0494,NA,tRNA-Pro,negative,77,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000061,Uncategorized;Uncategorized;Uncategorized;,AENW01000022,rrl,"rrl, HMPREF9406_3737",NA,1.17,1130000,0.122,9.6,8.19e-22,1.21e-20,NA,23S ribosomal RNA,negative,2909,NA,NA,NA,NA,rrl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000062,Uncategorized;Uncategorized;Uncategorized;,AENW01000022,rrs,"rrs, HMPREF9406_3738",NA,2.81,121000,0.516,5.44,5.33e-8,3.64e-7,NA,16S ribosomal RNA,negative,1499,NA,NA,NA,NA,rrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
