"id","ERGO_Function","GenBank_Function","strand","length_nt","length_aa","GRAVY","Molecular_Weight","Iso_electric_Point","gene_name","Kegg_Orthology","COG_Category_description","KEGG_Pathway_names","COG_category_eggnog","seed_ortholog_eggnog","evalue_eggnog","score_eggnog","Description_eggnog","Preferred_name_eggnog","GOs_eggnog","EC_eggnog","KEGG_ko_eggnog","KEGG_Pathway_eggnog","KEGG_Module_eggnog","KEGG_Reaction_eggnog","KEGG_rclass_eggnog","BRITE_eggnog","KEGG_TC_eggnog","CAZy_eggnog","BiGG_Reaction_eggnog","PFAMs_eggnog","TransAAP_Transporter_Family","TransAAP_Subfamily","TransAAP_Substrate_Function"
"RVCYZ000001","Fructosamine-3-kinase (EC 2.7.1.-)","fructosamine kinase family protein","negative",792,264,"-0.376515151515152","29251.7169","5.10272216796875","None","K01607 - pcaC - 4-carboxymuconolactone decarboxylase [EC:4.1.1.44] [4.1.1.44]","(G) Carbohydrate metabolism and transport","-","G","552531.BIF_01743","2.17E-204","563","Fructosamine kinase","-","-","-","-","-","-","-","-","-","-","-","-","Fructosamin_kin","NA","NA","NA"
"RVCYZ000002","Undecaprenyl-diphosphatase (Bacitracin resistance protein) (EC 3.6.1.27)","undecaprenyl-diphosphate phosphatase (EC 3.6.1.27)","positive",885,295,"0.79457627118644","31933.573","9.27630615234375","None","K06153 - bacA - undecaprenyl-diphosphatase [EC:3.6.1.27] [3.6.1.27]","NA","Peptidoglycan biosynthesis","V","552531.BIF_01744","1.67E-191","533","Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin","uppP","-","3.6.1.27","ko:K06153","ko00550,map00550","-","R05627","RC00002","ko00000,ko00001,ko01000,ko01011","-","-","-","BacA","NA","NA","NA"
"RVCYZ000003","Hypothetical cytosolic protein","PAC2 family protein","negative",798,266,"-0.338721804511278","30058.471","4.74627685546875","None",,"(S) Function Unknown","-","S","552531.BIF_00337","4.49E-199","552","PAC2 family","-","-","-","-","-","-","-","-","-","-","-","-","PAC2","NA","NA","NA"
"RVCYZ000004","Hypothetical protein","hypothetical protein","positive",240,80,"1.0275","9191.0312","9.73712158203125","None",,"NA","-","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RVCYZ000005","Hypothetical protein","hypothetical protein","positive",177,59,"-0.342372881355932","7014.9587","6.55438232421875","None",,"NA","-","-","552531.BIF_02016","2.65E-32","112","-","-","-","-","-","-","-","-","-","-","-","-","-","-","NA","NA","NA"
"RVCYZ000006","Protease synthase and sporulation negative regulatory protein PAI 1","GNAT family N-acetyltransferase","negative",519,173,"-0.267052023121388","19323.6346","5.59613037109375","None","K19271 - catA - chloramphenicol O-acetyltransferase type A [EC:2.3.1.28] [2.3.1.28]","(K) Transcription","-","K","552531.BIF_00376","5.2E-123","352","Acetyltransferase (GNAT) domain","-","GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008080,GO:0008150,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0044424,GO:0044464,GO:0048583,GO:0050789,GO:0065007,GO:0080134,GO:1902882","2.3.1.57","ko:K22441","-","-","-","-","ko00000,ko01000","-","-","-","Acetyltransf_1,Acetyltransf_10","NA","NA","NA"
"RVCYZ000007","ABC transporter ATP-binding protein uup","ATP-binding cassette domain-containing protein","positive",507,169,"-0.374556213017751","18982.0368","4.94635009765625","None",,"(S) Function Unknown","-","S","552531.BIF_01771","3.74E-127","362","ATPases associated with a variety of cellular activities","-","-","-","-","-","-","-","-","-","-","-","-","ABC_tran","ABC","binding","cobalt"
"RVCYZ000008","Threonyl-tRNA synthetase (EC 6.1.1.3)","threonine--tRNA ligase (EC 6.1.1.3)","positive",2076,692,"-0.517341040462426","78613.5157000003","5.11639404296875","thrS","K01868 - TARS, thrS - threonyl-tRNA synthetase [EC:6.1.1.3] [6.1.1.3]","(J) Translation","Aminoacyl-tRNA biosynthesis","J","552531.BIF_00522","0","1392","Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr)","thrS","GO:0003674,GO:0003824,GO:0004812,GO:0004829,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006435,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0040007,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576","6.1.1.3","ko:K01868","ko00970,map00970","M00359,M00360","R03663","RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016","-","-","-","HGTP_anticodon,tRNA-synt_2b,tRNA_SAD","NA","NA","NA"
"RVCYZ000009","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)","CDP-alcohol phosphatidyltransferase family protein (EC 2.7.8.-)","positive",669,223,"0.672645739910314","23985.9798","9.66400146484375","None","K00995 - pgsA, PGS1 - CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5] [2.7.8.5]","(I) Lipid metabolism","Inositol phosphate metabolism; Glycerophospholipid metabolism; Metabolic pathways; Phosphatidylinositol signaling system","I","552531.BIF_01830","8.83E-151","425","CDP-alcohol phosphatidyltransferase","pgsA1","GO:0003674,GO:0003824,GO:0003881,GO:0003882,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0006629,GO:0006644,GO:0006650,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009987,GO:0016740,GO:0016772,GO:0016780,GO:0017169,GO:0019637,GO:0030312,GO:0040007,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044464,GO:0045017,GO:0046474,GO:0046486,GO:0071704,GO:0071944,GO:0090407,GO:1901576","2.7.8.11,2.7.8.5","ko:K00995,ko:K00999","ko00562,ko00564,ko01100,ko04070,map00562,map00564,map01100,map04070","-","R01801,R01802","RC00002,RC00017,RC00078,RC02795","ko00000,ko00001,ko01000","-","-","-","CDP-OH_P_transf","NA","NA","NA"
"RVCYZ000010","Alpha-mannosyl-phosphatidylinositol acyltransferase (EC 2.3.1.-)","phosphatidylinositol mannoside acyltransferase","positive",993,331,"-0.334743202416919","37538.4042000001","6.84674072265625","None","K02517 - lpxL, htrB - Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-] [2.3.1.- 2.3.1.241]","(M) Cell wall/membrane/envelop biogenesis","-","M","552531.BIF_00294","4.4E-247","677","Bacterial lipid A biosynthesis acyltransferase","htrB","GO:0003674,GO:0003824,GO:0005575,GO:0006629,GO:0006643,GO:0006664,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009247,GO:0009987,GO:0016020,GO:0016740,GO:0016746,GO:0040007,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0046467,GO:0071704,GO:1901135,GO:1901137,GO:1901576,GO:1903509","2.3.1.265","ko:K22311","-","-","-","-","ko00000,ko01000","-","-","-","Lip_A_acyltrans","NA","NA","NA"
