"#FILE"	"SEQUENCE"	"START"	"END"	"STRAND"	"GENE"	"COVERAGE"	"COVERAGE_MAP"	"GAPS"	"%COVERAGE"	"%IDENTITY"	"DATABASE"	"ACCESSION"	"PRODUCT"	"RESISTANCE"
"Bifidobacterium_animalis_animalis_2006B.fna"	"RSDB01000032"	4247	7567	"-"	"Bifidobacteria_intrinsic_ileS_conferring_resistance_to_mupirocin"	"1-3324/3324"	"Err:510"	"21/35"	99.43	80.42	"card"	"CP001840.1:1613960-1610636"	"Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin."	"mupirocin"
"Bifidobacterium_animalis_animalis_2006B.fna"	"RSDB01000032"	78660	82208	"-"	"Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin"	"8-3556/3561"	"Err:510"	"2/2"	99.63	87.92	"card"	"NC_008618.1:1670624-1667063"	"Bifidobacterium are antibiotic resistant probiotics are prescribed to upkeep the population beneficial bacteria in the gut microbiome. However horizontal gene transfer among gut microbes could create harmful antibiotic-resistant pathogenic bacteria such as Mycobacterium tuberculosis. Lokesh et al. analyzed Bifidobacterium antitubercular drug resistance and mutations in rpoB. They found that B. animalis B. longum and B. adolescentis showed considerable resistance to pyrazinamide isoniazid and streptomycin while B. adolescentis had mutations both in the rifampicin (RIF) pocket and in regions outside the pockets and also showed considerable resistance to RIF."	"rifamycin"
"Bifidobacterium_animalis_animalis_2006B.fna"	"RSDB01000032"	4247	7567	"-"	"ILES"	"1-3324/3324"	"Err:510"	"21/35"	99.43	80.42	"megares"	"MEG_3295"	"Drugs:Mupirocin:Mupirocin-resistant_isoleucyl-tRNA_synthetase:ILES"	
"Bifidobacterium_animalis_animalis_2022B.fna"	"RSDC01000009"	22646	25966	"-"	"Bifidobacteria_intrinsic_ileS_conferring_resistance_to_mupirocin"	"1-3324/3324"	"Err:510"	"16/29"	99.52	80.52	"card"	"CP001840.1:1613960-1610636"	"Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin."	"mupirocin"
"Bifidobacterium_animalis_animalis_2022B.fna"	"RSDC01000009"	115600	119148	"-"	"Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin"	"8-3556/3561"	"Err:510"	"2/2"	99.63	87.94	"card"	"NC_008618.1:1670624-1667063"	"Bifidobacterium are antibiotic resistant probiotics are prescribed to upkeep the population beneficial bacteria in the gut microbiome. However horizontal gene transfer among gut microbes could create harmful antibiotic-resistant pathogenic bacteria such as Mycobacterium tuberculosis. Lokesh et al. analyzed Bifidobacterium antitubercular drug resistance and mutations in rpoB. They found that B. animalis B. longum and B. adolescentis showed considerable resistance to pyrazinamide isoniazid and streptomycin while B. adolescentis had mutations both in the rifampicin (RIF) pocket and in regions outside the pockets and also showed considerable resistance to RIF."	"rifamycin"
"Bifidobacterium_animalis_animalis_2022B.fna"	"RSDC01000009"	22646	25966	"-"	"ILES"	"1-3324/3324"	"Err:510"	"16/29"	99.52	80.52	"megares"	"MEG_3295"	"Drugs:Mupirocin:Mupirocin-resistant_isoleucyl-tRNA_synthetase:ILES"	
"Bifidobacterium_animalis_lactis_1316B.fna"	"RSDA01000003"	818735	820654	"-"	"tet(W)"	"1-1920/1920"	"Err:510"	"0/0"	100	100	"ncbi"	"NG_048300.1"	"tetracycline resistance ribosomal protection protein Tet(W)"	"TETRACYCLINE"
"Bifidobacterium_animalis_lactis_1316B.fna"	"RSDA01000003"	818742	820654	"-"	"tet(W)_4"	"1-1913/1920"	"Err:510"	"2/2"	99.58	98.85	"resfinder"	"FN396364"	"tet(W)"	"Doxycycline;Minocycline;Tetracycline"
"Bifidobacterium_animalis_lactis_1316B.fna"	"RSDA01000003"	818751	820654	"-"	"(Tet)tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.16	"argannot"	"AJ222769:3687-5606"	"(Tet)tetW"	
"Bifidobacterium_animalis_lactis_1316B.fna"	"RSDA01000003"	818751	820654	"-"	"tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.16	"card"	"AJ222769.3:3686-5606"	"TetW is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile."	"tetracycline"
"Bifidobacterium_animalis_lactis_1316B.fna"	"RSDA01000005"	11773	15093	"-"	"Bifidobacteria_intrinsic_ileS_conferring_resistance_to_mupirocin"	"1-3324/3324"	"Err:510"	"20/35"	99.43	80.87	"card"	"CP001840.1:1613960-1610636"	"Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin."	"mupirocin"
"Bifidobacterium_animalis_lactis_1316B.fna"	"RSDA01000005"	95834	99382	"-"	"Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin"	"8-3556/3561"	"Err:510"	"2/2"	99.63	87.89	"card"	"NC_008618.1:1670624-1667063"	"Bifidobacterium are antibiotic resistant probiotics are prescribed to upkeep the population beneficial bacteria in the gut microbiome. However horizontal gene transfer among gut microbes could create harmful antibiotic-resistant pathogenic bacteria such as Mycobacterium tuberculosis. Lokesh et al. analyzed Bifidobacterium antitubercular drug resistance and mutations in rpoB. They found that B. animalis B. longum and B. adolescentis showed considerable resistance to pyrazinamide isoniazid and streptomycin while B. adolescentis had mutations both in the rifampicin (RIF) pocket and in regions outside the pockets and also showed considerable resistance to RIF."	"rifamycin"
"Bifidobacterium_animalis_lactis_1316B.fna"	"RSDA01000003"	818735	820654	"-"	"TETW"	"1-1920/1920"	"Err:510"	"0/0"	100	100	"megares"	"MEG_7212"	"Drugs:Tetracyclines:Tetracycline_resistance_ribosomal_protection_proteins:TETW"	
"Bifidobacterium_animalis_lactis_1316B.fna"	"RSDA01000005"	11773	15093	"-"	"ILES"	"1-3324/3324"	"Err:510"	"20/35"	99.43	80.87	"megares"	"MEG_3295"	"Drugs:Mupirocin:Mupirocin-resistant_isoleucyl-tRNA_synthetase:ILES"	
"Bifidobacterium_animalis_lactis_1395B.fna"	"RSCZ01000003"	818372	820291	"-"	"tet(W)"	"1-1920/1920"	"Err:510"	"0/0"	100	100	"ncbi"	"NG_048300.1"	"tetracycline resistance ribosomal protection protein Tet(W)"	"TETRACYCLINE"
"Bifidobacterium_animalis_lactis_1395B.fna"	"RSCZ01000003"	818379	820291	"-"	"tet(W)_4"	"1-1913/1920"	"Err:510"	"2/2"	99.58	98.85	"resfinder"	"FN396364"	"tet(W)"	"Doxycycline;Minocycline;Tetracycline"
"Bifidobacterium_animalis_lactis_1395B.fna"	"RSCZ01000003"	818388	820291	"-"	"(Tet)tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.16	"argannot"	"AJ222769:3687-5606"	"(Tet)tetW"	
"Bifidobacterium_animalis_lactis_1395B.fna"	"RSCZ01000003"	818388	820291	"-"	"tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.16	"card"	"AJ222769.3:3686-5606"	"TetW is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile."	"tetracycline"
"Bifidobacterium_animalis_lactis_1395B.fna"	"RSCZ01000005"	11837	15157	"-"	"Bifidobacteria_intrinsic_ileS_conferring_resistance_to_mupirocin"	"1-3324/3324"	"Err:510"	"20/35"	99.43	80.87	"card"	"CP001840.1:1613960-1610636"	"Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin."	"mupirocin"
