"id","ERGO.Function","GenBank.Function","strand","length.nt.","length.aa.","GRAVY","Molecular.Weight","Iso.electric.Point","gene.name","Kegg.Orthology","COG_Category_description","KEGG_Pathway_names","eggnog_COG_category","eggnog_seed_ortholog","eggnog_evalue","eggnog_score","eggnog_Description","eggnog_Preferred_name","eggnog_GOs","eggnog_EC","eggnog_KEGG_ko","eggnog_KEGG_Pathway","eggnog_KEGG_Module","eggnog_KEGG_Reaction","eggnog_KEGG_rclass","eggnog_BRITE","eggnog_KEGG_TC","eggnog_CAZy","eggnog_BiGG_Reaction","eggnog_PFAMs","TransAAP_Transporter_Family","TransAAP_Subfamily","TransAAP_Substrate_Function"
"CHGFRNA000005",,"tRNA-Pro","negative",77,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000009",,"tRNA-Leu","positive",86,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000010",,"tRNA-Leu","negative",86,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000011",,"tRNA-Leu","negative",86,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000012",,"tRNA-Asn","negative",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000013",,"tRNA-Ala","negative",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000014",,"tRNA-Ile","negative",77,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000015",,"tRNA-Ala","negative",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000016",,"tRNA-Ile","negative",77,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000024",,"tRNA-Leu","negative",84,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000025",,"tRNA-Ala","positive",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000026",,"tRNA-Gln","negative",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000036",,"tRNA-Lys","positive",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000038",,"tRNA-Ser","positive",88,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000041",,"tRNA-Phe","negative",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000042",,"tRNA-Met","negative",77,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000043",,"tRNA-Ser","negative",91,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000044",,"tRNA-Met","negative",77,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000045",,"tRNA-Met","negative",77,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000046",,"tRNA-Pro","negative",77,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000047",,"tRNA-Arg","negative",77,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000060",,"5S ribosomal RNA","negative",114,"NA",,,,"rrf",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000061",,"23S ribosomal RNA","negative",2909,"NA",,,,"rrl",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000062",,"16S ribosomal RNA","negative",1499,"NA",,,,"rrs",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000073",,"tRNA-Thr","negative",75,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000074",,"tRNA-Val","positive",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000075",,"tRNA-Arg","positive",77,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000077",,"tRNA-Trp","positive",74,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000080",,"tRNA-Cys","positive",74,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000081",,"tRNA-Leu","positive",88,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000082",,"tRNA-Glu","negative",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000083",,"tRNA-Glu","positive",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000084",,"tRNA-Asn","positive",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
