id,Category,Locus,Gene Name,Aliases,Assigned Function,deseq2_log2_FC,Avg. Expression,lfc SE,wald stat,p-value,deseq2_q_value,ERGO_Function,GenBank_Function,strand,length_nt,length_aa,GRAVY,Molecular_Weight,Iso_electric_Point,gene_name,Kegg_Orthology,COG_Category_description,KEGG_Pathway_names,COG_category_eggnog,seed_ortholog_eggnog,evalue_eggnog,score_eggnog,Description_eggnog,Preferred_name_eggnog,GOs_eggnog,EC_eggnog,KEGG_ko_eggnog,KEGG_Pathway_eggnog,KEGG_Module_eggnog,KEGG_Reaction_eggnog,KEGG_rclass_eggnog,BRITE_eggnog,KEGG_TC_eggnog,CAZy_eggnog,BiGG_Reaction_eggnog,PFAMs_eggnog,TransAAP_Transporter_Family,TransAAP_Subfamily,TransAAP_Substrate_Function
RVCYZ000002,metabolic process;cellular process;response to stimulus;biological regulation;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000125, extdb:pgaptmp_000125",Undecaprenyl-diphosphatase (Bacitracin resistance protein) (EC 3.6.1.27),1.41,1690,0.0948,14.9,2.87e-50,1.85e-49,Undecaprenyl-diphosphatase (Bacitracin resistance protein) (EC 3.6.1.27),undecaprenyl-diphosphate phosphatase (EC 3.6.1.27),positive,885,295,0.79457627118644,31933.573,9.27630615234375,None,K06153 - bacA - undecaprenyl-diphosphatase [EC:3.6.1.27] [3.6.1.27],NA,Peptidoglycan biosynthesis,V,552531.BIF_01744,1.67e-191,533,Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin,uppP,-,3.6.1.27,ko:K06153,"ko00550,map00550",-,R05627,RC00002,"ko00000,ko00001,ko01000,ko01011",-,-,-,BacA,NA,NA,NA
RVCYZ000004,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000131, extdb:pgaptmp_000131",Hypothetical protein,-1.26,139,0.225,-5.62,1.86e-8,2.98e-8,Hypothetical protein,hypothetical protein,positive,240,80,1.0275,9191.0312,9.73712158203125,None,NA,NA,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RVCYZ000007,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000135, extdb:pgaptmp_000135",ABC transporter ATP-binding protein uup,-1.3,337,0.206,-6.31,2.83e-10,4.98e-10,ABC transporter ATP-binding protein uup,ATP-binding cassette domain-containing protein,positive,507,169,-0.374556213017751,18982.0368,4.94635009765625,None,NA,(S) Function Unknown,-,S,552531.BIF_01771,3.74e-127,362,ATPases associated with a variety of cellular activities,-,-,-,-,-,-,-,-,-,-,-,-,ABC_tran,ABC,binding,cobalt
RVCYZ000008,Uncategorized;,NODE_1_length_388644_cov_35.133645,thrS,"thrS, pgaptmp_000136, extdb:pgaptmp_000136",Threonyl-tRNA synthetase (EC 6.1.1.3),1.87,7430,0.0934,20,9.72e-89,1.4099999999999998e-87,Threonyl-tRNA synthetase (EC 6.1.1.3),threonine--tRNA ligase (EC 6.1.1.3),positive,2076,692,-0.517341040462426,78613.5157000003,5.11639404296875,thrS,"K01868 - TARS, thrS - threonyl-tRNA synthetase [EC:6.1.1.3] [6.1.1.3]",(J) Translation,Aminoacyl-tRNA biosynthesis,J,552531.BIF_00522,0,1392,Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr),thrS,"GO:0003674,GO:0003824,GO:0004812,GO:0004829,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006435,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0040007,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576",6.1.1.3,ko:K01868,"ko00970,map00970","M00359,M00360",R03663,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",-,-,-,"HGTP_anticodon,tRNA-synt_2b,tRNA_SAD",NA,NA,NA
RVCYZ000012,metabolic process;cellular process;response to stimulus;biological regulation;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000140, extdb:pgaptmp_000140",Hypothetical cytosolic protein,2.61,4890,0.122,21.3,4.459999999999999e-101,9.210000000000001e-100,Hypothetical cytosolic protein,YebC/PmpR family DNA-binding transcriptional regulator,positive,753,251,-0.402788844621514,26768.3681,4.57696533203125,None,"K01750 - E4.3.1.12, ocd - ornithine cyclodeaminase [EC:4.3.1.12] [4.3.1.12]",(K) Transcription,-,K,552531.BIF_00561,6.09e-175,488,transcriptional regulatory protein,yebC,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464",-,-,-,-,-,-,-,-,-,-,Transcrip_reg,NA,NA,NA
RVCYZ000016,Uncategorized;,NODE_1_length_388644_cov_35.133645,yajC,"yajC, pgaptmp_000144, extdb:pgaptmp_000144",Protein translocase subunit YajC,2.48,1680,0.114,21.9,6.629999999999998e-106,1.5899999999999997e-104,Protein translocase subunit YajC,preprotein translocase subunit YajC,positive,438,146,-0.382876712328767,16200.8884,4.19012451171875,yajC,K03210 - yajC - preprotein translocase subunit YajC,(U) Intracellular trafficing and secretion,Quorum sensing; Protein export; Bacterial secretion system,U,552531.BIF_01832,1.9e-72,221,Preprotein translocase subunit,yajC,-,-,ko:K03210,"ko02024,ko03060,ko03070,map02024,map03060,map03070",M00335,-,-,"ko00000,ko00001,ko00002,ko02044","3.A.5.1,3.A.5.2",-,-,YajC,NA,NA,NA
RVCYZ000017,metabolic process;cellular process;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000145, extdb:pgaptmp_000145",Adenine phosphoribosyltransferase (EC 2.4.2.7),1.82,1090,0.0956,19.1,5.04e-81,6.2e-80,Adenine phosphoribosyltransferase (EC 2.4.2.7),adenine phosphoribosyltransferase (EC 2.4.2.7),positive,579,193,0.172020725388601,20612.4092,4.85186767578125,None,"K00759 - APRT, apt - adenine phosphoribosyltransferase [EC:2.4.2.7] [2.4.2.7]",(F) Nucleotide metabolism and transport,Purine metabolism; Metabolic pathways,F,552531.BIF_01075,2.1999999999999997e-133,379,"Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis",apt,"GO:0003674,GO:0003824,GO:0003999,GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006144,GO:0006168,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009112,GO:0009113,GO:0009987,GO:0016020,GO:0016740,GO:0016757,GO:0016763,GO:0018130,GO:0019438,GO:0034641,GO:0034654,GO:0042440,GO:0043094,GO:0043096,GO:0043101,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044464,GO:0046083,GO:0046084,GO:0046112,GO:0046148,GO:0046483,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",2.4.2.7,ko:K00759,"ko00230,ko01100,map00230,map01100",-,"R00190,R01229,R04378",RC00063,"ko00000,ko00001,ko01000,ko04147",-,-,-,Pribosyltran,NA,NA,NA
RVCYZ000018,metabolic process;,NODE_1_length_388644_cov_35.133645,sucC,"sucC, pgaptmp_000146, extdb:pgaptmp_000146",Succinyl-CoA synthetase beta chain (EC 6.2.1.5),1.51,2470,0.0881,17.2,4.09e-66,3.7e-65,Succinyl-CoA synthetase beta chain (EC 6.2.1.5),ADP-forming succinate--CoA ligase subunit beta (EC 6.2.1.5),positive,1191,397,-0.14735516372796,42930.7227000001,4.77520751953125,sucC,K01903 - sucC - succinyl-CoA synthetase beta subunit [EC:6.2.1.5] [6.2.1.5],(F) Nucleotide metabolism and transport,Citrate cycle (TCA cycle); Propanoate metabolism; C5-Branched dibasic acid metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; NA; Carbon metabolism,F,552531.BIF_01074,5.72e-283,773,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit",sucC,"GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0030312,GO:0040007,GO:0044424,GO:0044444,GO:0044464,GO:0071944",6.2.1.5,ko:K01903,"ko00020,ko00640,ko00660,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00640,map00660,map00720,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00173,M00374,M00620","R00405,R02404","RC00004,RC00014","ko00000,ko00001,ko00002,ko01000",-,-,-,"ATP-grasp_2,Ligase_CoA",NA,NA,NA
RVCYZ000019,metabolic process;cellular process;,NODE_1_length_388644_cov_35.133645,sucD,"sucD, pgaptmp_000147, extdb:pgaptmp_000147",Succinyl-CoA synthetase alpha chain (EC 6.2.1.5),1.74,2750,0.0853,20.3,5.4099999999999996e-92,8.45e-91,Succinyl-CoA synthetase alpha chain (EC 6.2.1.5),succinate--CoA ligase subunit alpha (EC 6.2.1.5),positive,915,305,0.201639344262295,31330.4937,4.86798095703125,sucD,K01902 - sucD - succinyl-CoA synthetase alpha subunit [EC:6.2.1.5] [6.2.1.5],(C) Energy production and conversion,Citrate cycle (TCA cycle); Propanoate metabolism; C5-Branched dibasic acid metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; NA; Carbon metabolism,C,552531.BIF_01073,1.85e-212,587,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit",sucD,"GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044424,GO:0044444,GO:0044464,GO:0071944",6.2.1.5,ko:K01902,"ko00020,ko00640,ko00660,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00640,map00660,map00720,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00173,M00374,M00620","R00405,R02404","RC00004,RC00014","ko00000,ko00001,ko00002,ko01000",-,-,-,"CoA_binding,Ligase_CoA",NA,NA,NA
RVCYZ000021,metabolic process;cellular process;,NODE_1_length_388644_cov_35.133645,purH,"purH, pgaptmp_000149, extdb:pgaptmp_000149",Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) / IMP cyclohydrolase (EC 3.5.4.10),1.13,3350,0.0723,15.7,2.5299999999999994e-55,1.7899999999999998e-54,Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) / IMP cyclohydrolase (EC 3.5.4.10),bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase (EC 2.1.2.3) / IMP cyclohydrolase (EC 3.5.4.10),positive,1647,549,-0.143897996357013,59404.2824000001,5.19476318359375,purH,K00602 - purH - phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10] [2.1.2.3 3.5.4.10],(F) Nucleotide metabolism and transport,Purine metabolism; One carbon pool by folate; Metabolic pathways; Biosynthesis of secondary metabolites; NA; Antifolate resistance,F,552531.BIF_00506,0,1093,Bifunctional purine biosynthesis protein PurH,purH,"GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0040007,GO:0044464,GO:0071944","2.1.2.3,3.5.4.10",ko:K00602,"ko00230,ko00670,ko01100,ko01110,ko01130,ko01523,map00230,map00670,map01100,map01110,map01130,map01523",M00048,"R01127,R04560","RC00026,RC00263,RC00456","ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,"AICARFT_IMPCHas,MGS",NA,NA,NA
